,lnEGDPpc2012,lnagr_land2012,lnurb_land2012,ln_perUrb_land2012,ln_tr400_pop2012,ln_pm25_2012,ln_land_temp2012
46,9.632380903380035,6.91634269694569,6.907755278982137,6.907755278982137,9.636600490622344,2.8349674870943926,5.697417381307565
47,8.168026851849138,6.907755278982137,6.907755278982137,6.907755278982137,9.281064038106901,2.8614431183170277,5.696145679233
48,9.505447936077479,7.014172418861724,7.017968947399839,6.9082643950053155,10.554719928134274,3.0016889407140153,5.711721472335568
49,8.413592934370804,6.920313734765869,6.907755278982137,6.907755278982137,9.287051196625592,2.9212241853198897,5.697485211284657
50,9.53694165030664,6.907755278982137,6.907755278982137,6.907755278982137,7.847730193200538,2.9127798406361696,5.69164285872239
51,6.927911242347088,6.907755278982137,6.907755278982137,6.907755278982137,9.818799982505345,3.068693300795289,5.682904595274237
52,7.621183743252503,6.947090029148413,6.90975009106614,6.907802690506576,8.849986096161203,2.9952985551867766,5.705198721738028
53,8.247008682313885,6.908767958464376,6.907755278982137,6.907755278982137,8.665395724613344,2.947992462449096,5.7095903493797024
54,9.234613627066821,7.263524487273555,7.132149996624631,6.908125789276786,10.359985356078885,3.491393341801466,5.703712812203162
55,7.452692254522793,8.374315925810915,10.265990991165916,6.908647574438275,14.171911184281369,3.4906143441929784,5.713343062609075
56,10.21905680030322,6.914357748225906,6.945048148491714,6.908606460272168,10.181942964971824,3.606094629878682,5.7050258733189265
57,10.737897718793151,6.907755278982137,6.907755278982137,6.907755278982137,8.618047718337873,3.5389322954486624,5.710793933215271
58,8.501081793642069,6.999224729058602,6.9571340784991405,6.908100968633349,9.859097481244167,3.6344755319177926,5.712214935847308
59,7.861696908056927,6.907755278982137,6.907755278982137,6.907755278982137,8.969110481949583,3.400361406568994,5.680749464859711
60,8.70323159401051,6.907755278982137,6.907755278982137,6.907755278982137,9.655288722876271,3.43032902533819,5.677377722661385
61,7.728238144136607,6.907755278982137,6.907755278982137,6.907755278982137,9.776145878305138,3.3689934561964487,5.675699542042858
62,6.540998715119397,6.907755278982137,6.907755278982137,6.907755278982137,9.772171019583762,3.4498442307084973,5.68555037819478
63,8.255041408592197,6.913254063358358,6.919966726516839,6.908445273721557,8.829320919137672,3.0111243401752152,5.692906523534102
64,8.901960514904278,6.911647889723655,6.907755278982137,6.907755278982137,8.5860519232402,2.8046823832943577,5.693558718655184
65,7.484701827316892,6.972290034365667,6.969180328859027,6.908242423722827,10.4451742564252,2.809250788445708,5.69918115281954
66,10.21742462004115,6.9098983281294295,6.907755278982137,6.907755278982137,8.518527061415979,2.701766207554188,5.706377452177752
67,9.157745069724534,6.907755278982137,6.907755278982137,6.907755278982137,6.487549306214973,2.780012703697851,5.703299838983006
68,10.773728331079477,6.91729175667381,6.967935812957325,6.9086210952695915,9.779340786229676,3.3800273736873754,5.705324631830318
69,9.49694356475047,6.973068311353934,6.942592125616958,6.9080995894132835,9.8608150969684,3.639853620508894,5.708007424741931
70,10.57464950409325,6.907755278982137,6.907755278982137,6.907755278982137,8.32654957413713,3.4892303853914823,5.713736731531365
71,9.327971939564978,6.907755278982137,6.907755278982137,6.907755278982137,6.335371506132024,2.775251932825401,5.7028202507672425
72,9.20335877465362,6.970470361814075,6.914019774815852,6.907843774876205,10.102765041573122,2.860441959379234,5.696888154563828
