asdf_id,onshore_petroleum_v12.none.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
97,0.0,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,0.0,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,0.0,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,0.0,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,0.0,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,0.0,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,0.0,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,0.0,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,0.0,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,0.0,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,0.0,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,0.0,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,0.0,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,0.0,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,0.0,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,0.0,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,0.0,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,0.0,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,0.0,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,0.0,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,0.0,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,0.0,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,0.0,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,0.0,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,0.0,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,0.0,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,0.0,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,0.0,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,0.0,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,0.0,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,0.0,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,0.0,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,0.0,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,0.0,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,0.0,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,0.0,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,0.0,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,0.0,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,0.0,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
