asdf_id,srtm_elevation_500m.none.mean,srtm_elevation_500m.none.max,srtm_elevation_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
120,2854.782405,3702,1989,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,2805.887813,3065,2712,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,3384.273069,3865,2827,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,2987.571604,3433,2783,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,2714.743333,2767,2700,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,3888.474208,4443,2889,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,3705.888277,3842,3691,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,3718.59361,4662,3589,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,2788.605322,3548,2397,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,4029.789074,4811,3710,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,4083.310113,4473,3881,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,2939.268625,3649,2697,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,246.4894126,301,188,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,3790.771836,4271,3718,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,3954.653127,4728,3769,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,2841.724554,4494,2548,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,3876.188327,4703,3709,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
