system:index,agriculture,country,id,level,name,system:time_start,total_area,urban,year,.geo
2012_01_01_00000000000000000035,590.6882176485905,Bolivia,53,Admin2,Omereque,1325376000000,774.0632569504442,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000004f,524.2485678360908,Bolivia,79,Admin2,Quillacollo,1325376000000,566.443772356753,39.16796743658088,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000050,667.8383958625003,Bolivia,80,Admin2,Sacaba,1325376000000,749.7685111315021,51.53292632628676,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000051,300.36765432083337,Bolivia,81,Admin2,Tiquipaya,1325376000000,318.7918150124174,15.81410770398284,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000052,11.584620441299021,Bolivia,82,Admin2,Colcapirhua,1325376000000,30.632876904974996,18.9387885685049,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000053,451.01453482113965,Bolivia,83,Admin2,Sipe Sipe,1325376000000,502.9486735351608,33.24728750232843,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000054,198.16624815649513,Bolivia,84,Admin2,Vinto,1325376000000,216.82877518909552,16.48293038106618,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000055,312.61441668333333,Bolivia,85,Admin2,Tarata,1325376000000,335.20240621893396,3.851311875,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000056,996.2266944722429,Bolivia,86,Admin2,Totora,1325376000000,2136.7618353077337,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000006a,692.7684323021446,Bolivia,106,Admin2,Morochata,1325376000000,734.7358728855398,0.2600928917892157,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000077,187.61807825723037,Bolivia,119,Admin2,Sacabamba,1325376000000,196.3494200116396,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000078,631.1351273584562,Bolivia,120,Admin2,Anzaldo,1325376000000,672.5331861740384,1.49777421875,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
