asdf_id,globalsolaratlas_pvout.none.mean,globalsolaratlas_pvout.none.max,globalsolaratlas_pvout.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
78,6.21686882856,6.56799983978,5.39300012589,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,5.01165200779,5.39599990845,4.1939997673,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,4.96047218469,5.37099981308,3.22499990463,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,4.88150391507,5.36000013351,3.82399988174,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,5.37874644793,5.39599990845,5.32499980927,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,5.31025200681,5.49700021744,4.85400009155,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,5.11493110217,5.38800001144,4.48999977112,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,5.28250317667,5.47800016403,4.6890001297,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,4.08658150316,5.21799993515,2.65499997139,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,3.65357520765,3.98000001907,2.94499993324,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,3.91387892767,3.99099993706,3.44099998474,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,4.11691495363,4.18300008774,4.03000020981,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,3.99101122497,4.04300022125,3.91499996185,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,6.30899173011,6.54300022125,5.86899995804,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,4.71704665516,5.51399993896,3.59400010109,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,6.07441199438,6.23600006104,5.45599985123,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,3.95777845994,4.03000020981,3.49300003052,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,5.78832410566,6.14900016785,4.86999988556,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,3.84024520212,4.07600021362,3.41400003433,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,4.7376301017,5.26700019836,3.58599996567,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,5.55408764689,5.80100011826,4.28100013733,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,5.15277302199,5.46999979019,4.48099994659,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,6.35891557499,6.49900007248,6.0609998703,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,4.56529361165,5.44500017166,3.33100008965,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,6.0474659873,6.35099983215,5.02899980545,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,6.48502138281,6.78700017929,5.44500017166,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,5.63373498193,5.84200000763,5.12200021744,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,5.61332449989,5.78999996185,5.19600009918,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
