asdf_id,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
160,235.4424058,3048,0,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,629.2083383,2155,28,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,218.2832938,1082,0,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,223.6361771,436,83,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,384.7931239,1498,52,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,242.915875,1209,63,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,219.2559643,446,133,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,758.8833022,3489,12,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,474.4140553,937,95,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,552.0193261,2113,29,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,1006.390778,2260,48,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,232.0734414,511,117,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,451.2281953,1042,139,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,297.5055071,931,55,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,503.4869517,1396,187,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,299.9947361,787,161,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,1117.727821,3690,0,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,498.6951192,3369,88,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,917.5520627,2355,189,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,302.0681902,974,108,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,675.4912747,3293,139,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,485.8036665,1109,198,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,504.4823959,1322,141,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,519.773504,1530,155,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,288.5829069,1227,21,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,306.3499069,632,132,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,393.3393696,977,134,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,459.4850598,1453,31,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,313.5494486,1412,37,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,488.7722864,1467,77,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,837.4760766,1795,158,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,502.3148709,1186,118,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,364.1390057,1422,116,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,407.4302259,1076,133,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,692.1980716,1795,175,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,232.3843719,1124,0,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,219.082423,393,90,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,500.9986304,1127,215,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,495.4827737,873,123,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,430.4057737,915,128,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,348.8015162,906,87,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,114.3988319,387,6,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,226.4425114,688,13,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,295.4512314,820,89,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,355.7438811,931,49,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,283.5777448,839,37,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,320.714223,824,67,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,696.0150096,1993,202,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,856.2155721,2698,156,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,1246.851004,2572,277,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,728.2361328,2444,186,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,864.9779143,2196,315,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
212,556.8592237,1386,312,ADM3,212,212,BOL,BOL-ADM3-33444609B85439426,San Buenaventura,ADM3
213,603.7085766,2100,80,ADM3,213,213,BOL,BOL-ADM3-33444609B23560373,Santa Ana,ADM3
214,896.2430288,3064,184,ADM3,214,214,BOL,BOL-ADM3-33444609B36751060,San Borja,ADM3
215,716.4354631,2084,158,ADM3,215,215,BOL,BOL-ADM3-33444609B13357475,Reyes,ADM3
216,346.7645767,1000,0,ADM3,216,216,BOL,BOL-ADM3-33444609B85003487,Puerto Gonzalo Moreno,ADM3
217,714.6500551,1427,228,ADM3,217,217,BOL,BOL-ADM3-33444609B80291858,Puerto Siles,ADM3
218,750.6524065,1929,144,ADM3,218,218,BOL,BOL-ADM3-33444609B10458910,Exaltación,ADM3
219,474.618318,2007,1,ADM3,219,219,BOL,BOL-ADM3-33444609B93314585,Riberalta,ADM3
