asdf_id,udel_air_temp_v501_mean.2012.max,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2012.min,udel_air_temp_v501_mean.2013.max,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2013.min,udel_air_temp_v501_mean.2014.max,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2014.min,udel_air_temp_v501_mean.2015.max,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2015.min,udel_air_temp_v501_mean.2016.max,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2016.min,udel_air_temp_v501_mean.2017.max,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2017.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
30,5.84166666667,5.84166666667,5.84166666667,5.9,5.9,5.9,5.99166666667,5.99166666667,5.99166666667,6.09166666667,6.09166666667,6.09166666667,6.675,6.675,6.675,6.04166666667,6.04166666667,6.04166666667,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,26.1333333333,24.9667809171,24.925,25.6666666667,24.5053351125,24.4583333333,25.9916666667,24.7916233979,24.7333333333,26.4583333333,25.204906223,25.15,26.0166666667,24.903059187,24.8416666667,26.4583333333,25.2650529401,25.1916666667,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,18.1666666667,17.7981607899,17.7666666667,17.7,17.4005889752,17.375,18.2083333333,17.8091186335,17.775,18.4916666667,18.0924519669,18.0583333333,17.9333333333,17.749080395,17.7333333333,18.225,18.0023610328,17.9833333333,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,24.95,23.6626917817,20.3833333333,24.4916666667,23.2025973589,19.9166666667,24.7833333333,23.5075399717,20.2916666667,25.1916666667,23.9049906616,20.6416666667,24.9,23.5966614199,20.2916666667,25.2666666667,23.9500071341,20.65,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,23.1166666667,20.8390955097,20.3833333333,22.6666666667,20.377694621,19.9166666667,22.95,20.7364433402,20.2916666667,23.3583333333,21.0954314788,20.6416666667,23.0583333333,20.7565077706,20.2916666667,23.375,21.1049450728,20.65,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,21.4333333333,15.7178330221,12.5166666667,20.7916666667,15.0618873103,11.75,21.1833333333,15.3448737422,11.9083333333,21.6583333333,15.8744249029,12.6,20.9,15.1207837591,11.8583333333,20.9,15.1082912251,11.5333333333,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,24.425,19.2635090715,14.9833333333,24.1333333333,18.9335349836,14.6083333333,24.525,19.3157121104,14.9666666667,24.675,19.4529232769,15.175,23.9916666667,18.8013403431,14.525,24.7333333333,19.4240614032,15.0333333333,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,24.425,17.7321840277,14.9833333333,24.1333333333,17.3496509351,14.6083333333,24.525,17.7334669948,14.9666666667,24.675,17.955326182,15.175,23.9916666667,17.2673838007,14.525,24.7333333333,17.8297928394,15.0333333333,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,28.925,26.5501768209,25.7916666667,28.6083333333,26.1537326636,25.3666666667,28.8916666667,26.4744945364,25.7083333333,29.2416666667,26.900038911,26.1666666667,29.0583333333,26.6018529577,25.8,29.2416666667,26.8398887632,26.0833333333,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,14.6833333333,12.2364901496,9.73333333333,14.3083333333,11.2710962289,8.85833333333,14.4916666667,11.2223273026,8.78333333333,14.9083333333,12.2083598132,9.73333333333,14.975,11.5367554719,9.25,14.2416666667,10.4129943153,8.21666666667,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,18.1916666667,13.7697551244,10.4083333333,18.075,13.6495353378,10.3666666667,18.3083333333,13.8607076264,10.525,18.4916666667,14.0698764267,10.7416666667,18.7916666667,14.3882512928,11.1916666667,18.2166666667,13.7825433969,10.6,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,20.2833333333,20.2833333333,20.2833333333,20.2583333333,20.2583333333,20.2583333333,20.525,20.525,20.525,20.6416666667,20.6416666667,20.6416666667,20.9333333333,20.9333333333,20.9333333333,20.725,20.725,20.725,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,11.6416666667,7.45239242385,2.15833333333,10.975,6.70645241398,1.46666666667,11.0583333333,6.37099180709,0.333333333333,11.7583333333,7.03887656057,1.11666666667,11.45,6.85282559826,0.875,10.825,6.39539091638,0.5,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,20.2833333333,16.3055556928,11.3333333333,20.2583333333,16.2879630999,11.325,20.525,16.5472223594,11.575,20.6416666667,16.6157408796,11.5833333333,20.9333333333,16.9740742106,12.025,20.725,16.6620371772,11.5833333333,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,8.93333333333,5.23142003655,-2.7,8.64166666667,4.7605897588,-3.35833333333,8.84166666667,4.97234310338,-3.14166666667,9.39166666667,5.72057290743,-2.15,9.74166666667,5.8817346828,-2.18333333333,9.28333333333,5.48175742459,-2.525,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,27.8,26.6689849527,26.1916666667,27.5083333333,26.22000443,25.7333333333,27.8,26.6107709566,26.125,28.0916666667,27.0351941874,26.6166666667,28.1333333333,26.8162216754,26.325,28.125,26.9061380263,26.4666666667,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,15.6583333333,9.90444340394,7.70833333333,14.7083333333,8.97630762734,6.525,14.6583333333,8.90510313795,6.25,15.675,9.93022072916,7.625,14.9166666667,9.33912749962,6.78333333333,14.1166666667,8.40560386507,5.58333333333,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,9.275,8.5603801342,7.70833333333,7.81666666667,7.22748539433,6.525,7.36666666667,6.85730995381,6.25,9.04166666667,8.39546785185,7.625,7.90833333333,7.39517545098,6.78333333333,6.54166666667,6.10453217429,5.58333333333,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,24.925,24.5377983116,21.0166666667,25.0,24.5287230191,21.025,24.9,24.4692997007,21.275,25.15,24.6563563481,21.425,24.7583333333,24.2413786002,20.6833333333,25.2916666667,24.8908703401,21.4666666667,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,13.2333333333,10.4757967766,7.70833333333,12.1833333333,9.2842387433,6.525,12.1166666667,9.0489861061,6.25,13.175,10.3605696324,7.625,12.375,9.47797661411,6.78333333333,11.1833333333,8.2444309704,5.58333333333,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
