asdf_id,china_osm_v301_commitments_transport.none.sum,china_osm_v301_commitments_transport.none.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
94,1311519.9200405218,3408.75,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,622448.1599764749,1626.08007812,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,987198.8598589934,2582.97998047,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,664387.0600988455,1736.9699707,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,693263.7200357765,1812.72998047,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,5559.000023145229,56.9599990845,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,NA,0.0,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,694796.1400353163,1819.69995117,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,3359.379997799173,33.9700012207,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,NA,0.0,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,12896.260018751025,37.1800003052,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,4747.799995254725,13.9399995804,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,68305.94002498873,635.039978027,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,21278.979991139844,200.36000061,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,16835.05002407916,158.520004272,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,49476.18999433145,459.979980469,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,26065.169993592426,244.770019531,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,NA,0.0,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,NA,0.0,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,99954.08999023028,927.209960938,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,304610.31005378626,2809.99023438,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,NA,0.0,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,NA,0.0,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,30345.600021764636,283.899993896,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,2304.260004531592,23.6399993896,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,18231.34001053311,171.680007935,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,62221.560025565326,579.329956055,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,5745.390000097454,55.1899986267,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,6743.830022040755,64.5,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,1857.3600013237447,18.4699993134,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,5170.959986746311,49.7000007629,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,54563.22000244446,507.820007324,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,97281.40999190323,905.049987793,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,284587.0100169163,2628.82983398,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,27808.080002550036,260.079986572,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,135600.3600124903,1256.26000977,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,NA,0.0,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,6615.209997912869,63.3600006104,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,40580.69999906607,378.549987793,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,34030.88998629153,317.549987793,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,839.3000096641481,8.80000019073,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,26637.4200027287,249.649993896,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,218386.95005753823,2023.20996094,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,NA,0.0,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,1484.579993819818,14.8400001526,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,9667.210028367117,94.7900009155,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,19107.699998456985,178.839996338,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,7968.989993032068,75.9499969482,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,3179.5299985706806,31.7200012207,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,NA,0.0,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,NA,0.0,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,NA,0.0,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,681401.5101681724,6279.0703125,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,285904.82005121186,2647.14990234,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,206339152.62434548,214.899993896,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,NA,0.0,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,NA,0.0,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,NA,0.0,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,1912.9500098265707,18.9599990845,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,NA,0.0,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,NA,0.0,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,NA,0.0,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,1234.9699902627617,12.5,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,17560.700037103146,7.52999973297,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,24060.78002851084,10.2199993134,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,15224.579931719229,37.75,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,206569.102111971,301.880004883,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,12554.589748675004,5.59000015259,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,145505.1900211312,1349.40991211,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,NA,0.0,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,NA,0.0,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,NA,0.0,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,NA,0.0,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,52796.740119986236,53.9099960327,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,NA,0.0,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,137838.39035111293,56.8500022888,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,NA,0.0,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,NA,0.0,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,NA,0.0,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,NA,0.0,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,NA,0.0,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,NA,0.0,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,12190653.469652563,1718.59997559,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,NA,0.0,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,4026.459984716028,40.4799995422,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,NA,0.0,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,112073.96048273146,47.0400009155,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,NA,0.0,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,NA,0.0,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,NA,0.0,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,NA,0.0,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,NA,0.0,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,NA,0.0,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,NA,0.0,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,NA,0.0,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,NA,0.0,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,NA,0.0,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,4348.51002892293,21.8999996185,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,NA,0.0,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,9715.62000644207,27.2700004578,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,NA,0.0,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,NA,0.0,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
