asdf_id,distance_to_coast_236.none.mean,distance_to_coast_236.none.max,distance_to_coast_236.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
140,494360.031475,501882.178919,485111.956034,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,484493.677724,492444.188431,476736.835842,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,309329.48167,332193.929385,282362.117656,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,288675.943706,306326.050491,268187.160313,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,271206.864388,287024.938726,258744.882254,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,175494.835558,200992.030895,136528.6607,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,750876.382435,819838.297823,711449.724863,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,808826.066961,874713.946186,720844.72852,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,681416.785708,813713.127093,573029.22041,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,345004.640272,353755.077803,332620.733365,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,257569.077986,269656.181247,244791.207649,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,290280.325056,303285.481127,276641.986425,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,284239.098626,304202.708516,262800.784353,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,376475.167872,386100.536798,366675.006728,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,361962.105091,375600.008754,347425.89474,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,299706.102802,301968.585284,296442.446284,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,283467.114895,304762.581941,266265.533101,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,313082.818398,323068.266704,301049.130263,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,329728.135075,343325.203229,319329.343201,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,304527.467093,312267.30425,295740.376819,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,312343.941406,331775.229915,298864.541476,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,348969.005292,367217.562205,334011.82703,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,399541.468602,428593.59469,371809.763767,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,244381.181457,249773.30996,238608.370446,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,248941.522469,268727.315773,229389.823307,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,255583.557653,265876.025557,242804.600658,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,284456.825346,286453.477654,282140.623159,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,304841.266705,338603.984111,271191.401881,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,330417.218355,339477.100374,323983.532229,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,369254.23982,396011.887483,341860.959621,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,382411.654873,414434.227596,351678.380439,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,352208.927711,360627.525921,344931.113815,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,361710.734775,375331.492795,352155.715765,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,286829.591338,305877.86745,271463.137745,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,595440.278035,611182.311229,577504.869405,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,395305.080607,409422.253296,380587.913673,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,353579.746828,408246.625561,310406.656411,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,355064.099571,389204.947642,328623.530311,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,424144.514004,463262.818567,378793.105088,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,337715.0327,354007.654367,319532.668104,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,383477.373786,436752.638141,328641.925602,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,435820.603536,462674.66388,408988.959764,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
