asdf_id,map_pf_incidence_rate.2012.mean,map_pf_incidence_rate.2012.min,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2012.count,map_pf_incidence_rate.2013.mean,map_pf_incidence_rate.2013.min,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2013.count,map_pf_incidence_rate.2014.mean,map_pf_incidence_rate.2014.min,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2014.count,map_pf_incidence_rate.2015.mean,map_pf_incidence_rate.2015.min,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2015.count,map_pf_incidence_rate.2016.mean,map_pf_incidence_rate.2016.min,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2016.count,map_pf_incidence_rate.2017.mean,map_pf_incidence_rate.2017.min,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2017.count,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2018.min,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2018.count,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2019.min,map_pf_incidence_rate.2019.max,map_pf_incidence_rate.2019.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
24,1.12840812167e-07,0.0,6.03473665706e-07,27.3500003815,2.90132510088e-06,0.0,1.35055852297e-05,27.3500003815,6.12866594184e-08,0.0,2.96488138929e-07,27.3500003815,6.02894966882e-10,0.0,3.60460061799e-09,27.3500003815,2.64209611645e-11,0.0,1.67854716238e-10,27.3500003815,1.89544542963e-11,0.0,1.21720217239e-10,27.3500003815,0.0,0.0,0.0,27.3500003815,7.52540043316e-11,0.0,4.8912229822e-10,27.3500003815,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,0.0,0.0,0.0,57.3199996948,0.0,0.0,0.0,57.3199996948,0.0,0.0,0.0,57.3199996948,0.0,0.0,0.0,57.3199996948,0.0,0.0,0.0,57.3199996948,0.0,0.0,0.0,57.3199996948,0.0,0.0,0.0,57.3199996948,0.0,0.0,0.0,57.3199996948,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,1.51385982916e-07,0.0,3.87169194482e-07,7.77999973297,4.09012729644e-06,0.0,8.66968639457e-06,7.77999973297,9.61527559335e-08,0.0,2.45383915853e-07,7.77999973297,1.15078017449e-09,0.0,5.31366994849e-09,7.77999973297,5.43754277238e-11,0.0,2.86049101073e-10,7.77999973297,4.09334907479e-11,0.0,2.08067701957e-10,7.77999973297,0.0,0.0,0.0,7.77999973297,1.47478609059e-10,0.0,7.18501314001e-10,7.77999973297,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,7.47654069981e-07,0.0,8.94844833965e-06,42.0699996948,8.40787442191e-06,0.0,9.55126452027e-05,42.0699996948,0.0,0.0,0.0,42.0699996948,0.0,0.0,0.0,42.0699996948,0.0,0.0,0.0,42.0699996948,0.0,0.0,0.0,42.0699996948,0.0,0.0,0.0,42.0699996948,0.0,0.0,0.0,42.0699996948,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,3.41556570364e-06,0.0,4.35532274423e-05,35.4300003052,2.59180836235e-05,0.0,0.000222860864596,35.4300003052,0.0,0.0,0.0,35.4300003052,0.0,0.0,0.0,35.4300003052,0.0,0.0,0.0,35.4300003052,0.0,0.0,0.0,35.4300003052,0.0,0.0,0.0,35.4300003052,0.0,0.0,0.0,35.4300003052,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,1.42620517527e-08,0.0,4.47164609341e-07,51.7599983215,3.05533937107e-07,0.0,9.41558118939e-06,51.7599983215,2.52819014165e-09,0.0,2.46757309696e-07,51.7599983215,2.26137898022e-11,0.0,2.20715912214e-09,51.7599983215,8.92555765247e-13,0.0,8.71155439452e-11,51.7599983215,6.27451622685e-13,0.0,6.12407555223e-11,51.7599983215,0.0,0.0,0.0,51.7599983215,2.81759816238e-12,0.0,2.75004213846e-10,51.7599983215,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,1.34669749948e-08,0.0,1.70637019892e-06,43.1299972534,1.86090763779e-07,0.0,1.78149912244e-05,43.1299972534,0.0,0.0,0.0,43.1299972534,0.0,0.0,0.0,43.1299972534,0.0,0.0,0.0,43.1299972534,0.0,0.0,0.0,43.1299972534,0.0,0.0,0.0,43.1299972534,0.0,0.0,0.0,43.1299972534,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,5.69105514235e-06,7.29300950297e-07,0.000243999020313,51.1999969482,0.0,0.0,0.0,51.1999969482,3.11506185767e-06,2.43436318215e-07,0.000144495090353,51.1999969482,1.05362370884e-07,2.42364839309e-09,9.85271708487e-06,51.1999969482,7.32351850452e-09,1.00223253308e-10,1.08953486233e-06,51.1999969482,5.44384634592e-09,6.78725686765e-11,6.36684319488e-07,51.1999969482,0.0,0.0,0.0,51.1999969482,1.96590545029e-08,2.39359254639e-10,2.91046649181e-06,51.1999969482,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,1.72757303275e-06,0.0,3.45138832927e-05,35.5099983215,3.29819117145e-06,0.0,0.000142254575621,35.5099983215,7.54065858592e-07,0.0,1.83361480595e-05,35.5099983215,1.6354427491e-08,0.0,7.84264727827e-07,35.5099983215,9.96284236071e-10,0.0,6.11941501916e-08,35.5099983215,6.58408477128e-10,0.0,4.11600957761e-08,35.5099983215,0.0,0.0,0.0,35.5099983215,2.40813087337e-09,0.0,1.44086882869e-07,35.5099983215,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,3.52644954423e-06,7.29300950297e-07,1.10356577352e-05,50.1599998474,0.0,0.0,0.0,50.1599998474,1.55725122199e-06,2.43436318215e-07,7.79878610047e-06,50.1599998474,3.22939388932e-08,2.42364839309e-09,2.90150552473e-07,50.1599998474,1.66648581118e-09,1.00223253308e-10,1.58358659519e-08,50.1599998474,1.17169933375e-09,6.78725686765e-11,1.1671680511e-08,50.1599998474,0.0,0.0,0.0,50.1599998474,4.16050992992e-09,2.39359254639e-10,4.02392963395e-08,50.1599998474,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
