asdf_id,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
91,2524.42944336,3199.66992188,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,18521.1171875,1050.29003906,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,1315.42163086,510.540008545,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,95303.2421875,4956.58007812,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,7333.26074219,2337.93017578,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,16740.5195312,3715.12011719,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,27478.5078125,2497.42993164,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,11842.9023438,2607.40991211,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,11406.3779297,1467.63000488,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,1810.54248047,2961.5300293,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,211319.171875,2615.75,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,1556.6640625,1663.12011719,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,4096.26220703,16770.4199219,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,3980.97119141,1147.42993164,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,3343.73120117,836.520019531,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,14304.0019531,912.489990234,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,926.141601562,287.389984131,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,659.4765625,227.350006104,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,2546.26733398,660.700012207,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,3268.78564453,351.070007324,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,624.608215332,24.0300006866,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,15242.0410156,1915.38000488,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,2255.65112305,1332.76000977,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,9168.4765625,4042.46972656,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,9781.92285156,2031.07006836,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,10430.1181641,560.719970703,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,9508.08105469,407.560028076,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,4149.65722656,482.470031738,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,4188.30810547,246.209991455,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,7220.04492188,832.239990234,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,6489.71044922,78.9799957275,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,3123.92236328,92.2599945068,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,1841.25195312,26.2700004578,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,20788.3769531,71.1399993896,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,10284.7128906,729.719970703,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,9580.25,1300.54003906,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,11960.9570312,3781.30004883,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,11488.796875,373.179992676,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,24493.9980469,1809.59008789,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,4949.22998047,134.080001831,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,5467.62011719,90.5800018311,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,58365.7226562,544.83001709,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,5507.44873047,456.230010986,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,6895.27001953,1471.89990234,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,636913.375,358.049987793,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,37255.734375,2936.77001953,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,3256.52294922,649.790039062,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,7285.91650391,738.230041504,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,10161.2294922,4815.25976562,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,8929.07226562,256.789978027,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,26459.9023438,108.660003662,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,32833.2460938,2145.2800293,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,21712.2714844,691.16003418,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,11351.3066406,423.619995117,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,5143.65527344,1609.16992188,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,11779.2763672,9040.24121094,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,9487.35644531,3802.93994141,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,8938.89160156,11472.6005859,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,5842.18652344,435.059997559,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,4674.3828125,558.400024414,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,12522.1757812,593.979980469,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,96155.0703125,1045.85998535,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,6764.57519531,244.990005493,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,10295.0820312,1230.04003906,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,2412.86230469,25.1200008392,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,31366.3164062,852.549926758,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,18070.3339844,647.650024414,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
