asdf_id,ltdr_avhrr_ndvi_v5_yearly.2012.max,ltdr_avhrr_ndvi_v5_yearly.2012.mean,ltdr_avhrr_ndvi_v5_yearly.2012.min,ltdr_avhrr_ndvi_v5_yearly.2012.count,ltdr_avhrr_ndvi_v5_yearly.2013.max,ltdr_avhrr_ndvi_v5_yearly.2013.mean,ltdr_avhrr_ndvi_v5_yearly.2013.min,ltdr_avhrr_ndvi_v5_yearly.2013.count,ltdr_avhrr_ndvi_v5_yearly.2014.max,ltdr_avhrr_ndvi_v5_yearly.2014.mean,ltdr_avhrr_ndvi_v5_yearly.2014.min,ltdr_avhrr_ndvi_v5_yearly.2014.count,ltdr_avhrr_ndvi_v5_yearly.2015.max,ltdr_avhrr_ndvi_v5_yearly.2015.mean,ltdr_avhrr_ndvi_v5_yearly.2015.min,ltdr_avhrr_ndvi_v5_yearly.2015.count,ltdr_avhrr_ndvi_v5_yearly.2016.max,ltdr_avhrr_ndvi_v5_yearly.2016.mean,ltdr_avhrr_ndvi_v5_yearly.2016.min,ltdr_avhrr_ndvi_v5_yearly.2016.count,ltdr_avhrr_ndvi_v5_yearly.2017.max,ltdr_avhrr_ndvi_v5_yearly.2017.mean,ltdr_avhrr_ndvi_v5_yearly.2017.min,ltdr_avhrr_ndvi_v5_yearly.2017.count,ltdr_avhrr_ndvi_v5_yearly.2018.max,ltdr_avhrr_ndvi_v5_yearly.2018.mean,ltdr_avhrr_ndvi_v5_yearly.2018.min,ltdr_avhrr_ndvi_v5_yearly.2018.count,ltdr_avhrr_ndvi_v5_yearly.2019.max,ltdr_avhrr_ndvi_v5_yearly.2019.mean,ltdr_avhrr_ndvi_v5_yearly.2019.min,ltdr_avhrr_ndvi_v5_yearly.2019.count,ltdr_avhrr_ndvi_v5_yearly.2020.max,ltdr_avhrr_ndvi_v5_yearly.2020.mean,ltdr_avhrr_ndvi_v5_yearly.2020.min,ltdr_avhrr_ndvi_v5_yearly.2020.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
109,2065.75,1710.23943526,1300.91666667,19.3799972534,2359.25,1722.44997571,1284.66666667,19.3799972534,2415.25,1765.86567443,1297.25,19.3799972534,2557.08333333,1735.13392249,1109.66666667,19.3799972534,2829.33333333,1801.8260978,1163.0,19.3799972534,3297.41666667,2034.82634645,1200.58333333,19.3799972534,4377.08333333,2320.22702982,1350.08333333,19.3799972534,3567.36363636,1542.32373638,987.333333333,19.3799972534,3014.0,1214.23772534,309.666666667,19.3799972534,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,2785.08333333,2535.53648522,2411.58333333,10.6500015259,2654.08333333,2387.13367663,2283.08333333,10.6500015259,2626.83333333,2440.06975544,2277.41666667,10.6500015259,2547.45454545,2450.15416971,2347.83333333,10.6500015259,2399.75,2285.13581921,2130.41666667,10.6500015259,2805.08333333,2497.95567321,2260.16666667,10.6500015259,3032.75,2825.34872344,2644.66666667,10.6500015259,2905.33333333,2503.59676176,1560.54545455,10.6500015259,5468.0,3143.90837054,1614.5,10.6500015259,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,3095.0,3036.07765238,2997.16666667,0.879999995232,2995.08333333,2985.86931798,2971.91666667,0.879999995232,2850.66666667,2820.9043565,2801.25,0.879999995232,2917.16666667,2877.11553089,2850.66666667,0.879999995232,2722.33333333,2668.63068261,2633.16666667,0.879999995232,2981.33333333,2973.4535986,2968.25,0.879999995232,3112.75,2999.32197136,2924.41666667,0.879999995232,2547.72727273,2482.79588594,2439.91666667,0.879999995232,3430.5,2764.68750979,2325.0,0.879999995232,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,3363.54545455,2887.85740599,2271.16666667,56.0400009155,3405.25,2815.88959229,2176.16666667,56.0400009155,3289.25,2648.46254071,2159.83333333,56.0400009155,3414.83333333,2767.28456443,2179.16666667,56.0400009155,3068.91666667,2563.49945545,2031.75,56.0400009155,3527.83333333,2822.81898937,2325.83333333,56.0400009155,3613.5,2971.47599756,2536.91666667,56.0400009155,3202.27272727,2465.17521366,1414.625,56.0400009155,5521.0,2878.75591317,580.0,56.0400009155,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,2201.75,1976.11057686,1704.33333333,38.6500015259,2168.25,1943.48803019,1683.5,38.6500015259,2114.16666667,1867.26800315,1608.41666667,38.6500015259,1978.25,1763.84627671,1487.41666667,38.6500015259,2141.08333333,1677.77115834,1391.83333333,38.6500015259,2233.25,1844.8922814,1479.58333333,38.6500015259,2266.83333333,1911.7667668,1432.66666667,38.6500015259,2099.71428571,1567.11409314,1035.5,38.6500015259,4508.0,1882.94242635,509.25,38.6500015259,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,3022.08333333,2246.31529558,1687.41666667,114.800003052,2950.16666667,2199.28899505,1661.5,114.800003052,2840.58333333,2147.38611663,1598.33333333,114.800003052,2989.33333333,2053.96441837,1495.33333333,114.800003052,2851.5,1934.63393552,1462.41666667,114.800003052,2997.08333333,2111.6024107,1657.83333333,114.800003052,3259.58333333,2221.92832037,1704.08333333,114.800003052,2665.83333333,1733.81699697,1145.33333333,114.800003052,9052.0,2357.0354244,756.0,114.800003052,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,3075.58333333,2316.29611698,1797.08333333,58.7099952698,2821.5,2249.61959315,1777.63636364,58.7099952698,3058.41666667,2380.48696595,1781.91666667,58.7099952698,2709.5,2298.39407523,1815.63636364,58.7099952698,2746.58333333,2310.48715063,1830.75,58.7099952698,2829.91666667,2400.64061144,1883.66666667,58.7099952698,3458.08333333,2865.16235953,2226.33333333,58.7099952698,4424.83333333,2678.49377739,1691.28571429,58.7099952698,4232.5,2784.9540787,800.0,58.7099952698,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,3443.83333333,3040.7811927,2576.36363636,16.7899990082,3558.5,3033.49797683,2606.16666667,16.7899990082,3434.58333333,2949.16773999,2579.25,16.7899990082,4018.75,3402.79042875,2950.83333333,16.7899990082,3590.83333333,3119.59546881,2588.41666667,16.7899990082,4048.33333333,3398.47589591,2803.75,16.7899990082,4470.08333333,3724.98376798,3290.25,16.7899990082,5971.16666667,3175.41494304,1765.9,16.7899990082,8130.0,3487.50888476,2210.5,16.7899990082,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,2554.5,2286.64244614,1882.125,12.220000267,2498.5,2257.33417253,1861.27272727,12.220000267,2525.66666667,2269.30569141,1700.0,12.220000267,2510.18181818,2242.13877458,1863.72727273,12.220000267,2473.83333333,2114.4660998,1873.91666667,12.220000267,2580.58333333,2236.2479991,1985.33333333,12.220000267,3173.58333333,2636.62549657,2075.2,12.220000267,3170.8,2184.13942785,1351.33333333,12.220000267,5405.0,2600.35152392,1158.25,12.220000267,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,3540.0,3217.32863863,2795.25,14.4099998474,3550.25,3265.21783005,2792.33333333,14.4099998474,3817.83333333,3360.83559539,2813.41666667,14.4099998474,3567.0,3323.74040364,2884.25,14.4099998474,3345.33333333,3102.99594009,2783.58333333,14.4099998474,3705.08333333,3305.75525261,2925.25,14.4099998474,4434.25,3636.38110526,2815.25,14.4099998474,4829.2,3536.37918621,2765.75,14.4099998474,4798.0,1816.01038916,0.0,14.3199996948,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
