asdf_id,esa_landcover.2012.categorical_grassland,esa_landcover.2012.categorical_count,esa_landcover.2012.categorical_sparse_vegetation,esa_landcover.2012.categorical_bare_areas,esa_landcover.2012.categorical_shrubland,esa_landcover.2012.categorical_no_data,esa_landcover.2012.categorical_rainfed_cropland,esa_landcover.2012.categorical_water_bodies,esa_landcover.2012.categorical_forest,esa_landcover.2012.categorical_wetland,esa_landcover.2012.categorical_mosaic_cropland,esa_landcover.2012.categorical_irrigated_cropland,esa_landcover.2012.categorical_snow_ice,esa_landcover.2012.categorical_urban,esa_landcover.2012.count,esa_landcover.2013.categorical_grassland,esa_landcover.2013.categorical_count,esa_landcover.2013.categorical_sparse_vegetation,esa_landcover.2013.categorical_bare_areas,esa_landcover.2013.categorical_shrubland,esa_landcover.2013.categorical_no_data,esa_landcover.2013.categorical_rainfed_cropland,esa_landcover.2013.categorical_water_bodies,esa_landcover.2013.categorical_forest,esa_landcover.2013.categorical_wetland,esa_landcover.2013.categorical_mosaic_cropland,esa_landcover.2013.categorical_irrigated_cropland,esa_landcover.2013.categorical_snow_ice,esa_landcover.2013.categorical_urban,esa_landcover.2013.count,esa_landcover.2014.categorical_grassland,esa_landcover.2014.categorical_count,esa_landcover.2014.categorical_sparse_vegetation,esa_landcover.2014.categorical_bare_areas,esa_landcover.2014.categorical_shrubland,esa_landcover.2014.categorical_no_data,esa_landcover.2014.categorical_rainfed_cropland,esa_landcover.2014.categorical_water_bodies,esa_landcover.2014.categorical_forest,esa_landcover.2014.categorical_wetland,esa_landcover.2014.categorical_mosaic_cropland,esa_landcover.2014.categorical_irrigated_cropland,esa_landcover.2014.categorical_snow_ice,esa_landcover.2014.categorical_urban,esa_landcover.2014.count,esa_landcover.2015.categorical_grassland,esa_landcover.2015.categorical_count,esa_landcover.2015.categorical_sparse_vegetation,esa_landcover.2015.categorical_bare_areas,esa_landcover.2015.categorical_shrubland,esa_landcover.2015.categorical_no_data,esa_landcover.2015.categorical_rainfed_cropland,esa_landcover.2015.categorical_water_bodies,esa_landcover.2015.categorical_forest,esa_landcover.2015.categorical_wetland,esa_landcover.2015.categorical_mosaic_cropland,esa_landcover.2015.categorical_irrigated_cropland,esa_landcover.2015.categorical_snow_ice,esa_landcover.2015.categorical_urban,esa_landcover.2015.count,esa_landcover.2016.categorical_grassland,esa_landcover.2016.categorical_count,esa_landcover.2016.categorical_sparse_vegetation,esa_landcover.2016.categorical_bare_areas,esa_landcover.2016.categorical_shrubland,esa_landcover.2016.categorical_no_data,esa_landcover.2016.categorical_rainfed_cropland,esa_landcover.2016.categorical_water_bodies,esa_landcover.2016.categorical_forest,esa_landcover.2016.categorical_wetland,esa_landcover.2016.categorical_mosaic_cropland,esa_landcover.2016.categorical_irrigated_cropland,esa_landcover.2016.categorical_snow_ice,esa_landcover.2016.categorical_urban,esa_landcover.2016.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
20,184,8726,1156,7160,169,0,0,1,0,0,56,0,0,0,8754.18945312,187,8726,1187,7126,169,0,0,1,0,0,56,0,0,0,8754.18945312,189,8726,1192,7119,169,0,0,1,0,0,56,0,0,0,8754.18945312,189,8726,1192,7119,169,0,0,1,0,0,56,0,0,0,8754.18945312,189,8726,1192,7119,169,0,0,1,0,0,56,0,0,0,8754.18945312,ADM3,20,20,BOL,BOL-ADM3-33444609B90350398,San Pedro de Curahuara,ADM3
21,856,1269,72,27,249,0,4,0,35,0,0,0,0,26,1286.02990723,853,1269,71,26,249,0,4,0,35,0,0,0,0,31,1286.02990723,853,1269,71,26,248,0,4,0,35,0,0,0,0,32,1286.02990723,853,1269,71,25,248,0,4,0,35,0,0,0,0,33,1286.02990723,852,1269,72,25,248,0,4,0,35,0,0,0,0,33,1286.02990723,ADM3,21,21,BOL,BOL-ADM3-33444609B28043407,Sicaya,ADM3
22,129,15973,0,0,86,0,66,1105,12732,1543,263,0,0,49,16014.7495117,129,15973,0,0,86,0,66,1105,12732,1543,263,0,0,49,16014.7495117,128,15973,0,0,86,0,66,1117,12723,1543,261,0,0,49,16014.7495117,128,15973,0,0,86,0,66,1117,12723,1543,261,0,0,49,16014.7495117,128,15973,0,0,86,0,66,1117,12721,1543,263,0,0,49,16014.7495117,ADM3,22,22,BOL,BOL-ADM3-33444609B22047407,Puerto Quijarro,ADM3
23,4582,6276,234,48,760,0,71,0,313,13,7,0,0,248,6307.25,4564,6276,234,47,775,0,71,0,313,13,7,0,0,252,6307.25,4565,6276,229,47,775,0,71,0,313,13,7,0,0,256,6307.25,4564,6276,229,47,775,0,71,0,313,13,7,0,0,257,6307.25,4562,6276,231,47,775,0,71,0,313,13,7,0,0,257,6307.25,ADM3,23,23,BOL,BOL-ADM3-33444609B45253703,Capinota,ADM3
24,2749,5731,1538,147,1025,0,12,0,227,0,18,0,0,15,5762.16015625,2748,5731,1537,147,1025,0,12,0,227,0,18,0,0,17,5762.16015625,2765,5731,1520,147,1024,0,12,0,225,0,18,0,0,20,5762.16015625,2765,5731,1520,146,1024,0,12,0,225,0,18,0,0,21,5762.16015625,2760,5731,1525,146,1024,0,12,0,225,0,18,0,0,21,5762.16015625,ADM3,24,24,BOL,BOL-ADM3-33444609B98674568,Arque,ADM3
25,7240,12139,3232,1043,221,0,92,7,0,0,304,0,0,0,12183.5898438,7248,12139,3242,1025,221,0,92,7,0,0,304,0,0,0,12183.5898438,7855,12139,2660,1000,221,0,92,7,0,0,304,0,0,0,12183.5898438,7855,12139,2660,1000,221,0,92,7,0,0,304,0,0,0,12183.5898438,7843,12139,2672,1000,221,0,92,7,0,0,304,0,0,0,12183.5898438,ADM3,25,25,BOL,BOL-ADM3-33444609B17270625,Corocoro,ADM3
26,942,1556,33,267,69,0,82,3,93,0,32,0,0,35,1570.80004883,941,1556,33,267,69,0,82,3,93,0,32,0,0,36,1570.80004883,940,1556,33,267,69,0,82,3,93,0,31,0,0,38,1570.80004883,940,1556,33,266,69,0,82,3,93,0,31,0,0,39,1570.80004883,940,1556,33,266,69,0,82,3,93,0,31,0,0,39,1570.80004883,ADM3,26,26,BOL,BOL-ADM3-33444609B19104054,San Benito,ADM3
27,2195,8969,1083,82,5066,0,3,0,398,50,19,0,0,73,9002.71972656,2195,8969,1083,82,5066,0,3,0,398,50,19,0,0,73,9002.71972656,2189,8969,1089,82,5066,0,3,0,398,50,19,0,0,73,9002.71972656,2189,8969,1088,82,5066,0,3,0,398,50,19,0,0,74,9002.71972656,2189,8969,1088,82,5066,0,3,0,398,50,19,0,0,74,9002.71972656,ADM3,27,27,BOL,BOL-ADM3-33444609B66518212,Sapahaqui,ADM3
28,1856,7529,142,20,4300,0,21,0,1007,43,101,0,21,18,7562.13037109,1856,7529,142,20,4300,0,21,0,1007,43,101,0,21,18,7562.13037109,1841,7529,142,20,4275,0,21,0,1047,43,100,0,20,20,7562.13037109,1841,7529,142,20,4275,0,21,0,1047,43,100,0,20,20,7562.13037109,1839,7529,142,20,4275,0,21,0,1049,43,100,0,20,20,7562.13037109,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,5309,11154,3635,32,1695,0,22,0,411,19,30,0,0,1,11181.9101562,5311,11154,3634,31,1695,0,22,0,411,19,30,0,0,1,11181.9101562,5364,11154,3586,26,1695,0,22,0,411,19,30,0,0,1,11181.9101562,5364,11154,3586,26,1695,0,22,0,411,19,30,0,0,1,11181.9101562,5338,11154,3599,26,1708,0,22,0,411,19,30,0,0,1,11181.9101562,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
