asdf_id,globalwindatlas_powerdensity.none.mean,globalwindatlas_powerdensity.none.max,globalwindatlas_powerdensity.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
93,337.678585741,4503.35742188,0.438310563564,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,77.2760797947,974.952941895,3.64312839508,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,148.192464075,2536.09838867,0.901087522507,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,67.1460957127,866.141723633,1.02612698078,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,109.47808376,1846.99633789,0.247104331851,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,144.814209576,2316.70288086,0.127119213343,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,73.732325732,1153.27587891,0.0498217567801,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,127.986358533,1709.93554688,18.7748165131,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,90.0087648676,2195.35058594,0.221705675125,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,68.3805890507,1339.5390625,16.528181076,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,264.495341532,239604.828125,0.748032689095,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,83.5156396594,684.022888184,1.14012897015,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,91.1591082961,811.233520508,1.39223313332,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,100.392391629,1009.00970459,0.117453619838,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,174.094577071,1230.55273438,12.9407444,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,47.1354860082,249.274765015,17.5051860809,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,55.7596657736,265.96685791,19.1130657196,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,134.928090635,738.878417969,22.5422286987,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,22.1774877513,28.5931091309,17.2352294922,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,36.5469643888,216.765472412,11.0665616989,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,57.5973908076,245.238616943,34.930973053,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,52.3069618059,335.314331055,15.5397968292,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,74.7834997548,1067.62402344,1.62832462788,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,82.9399899797,736.759765625,0.352522909641,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,67.7785938426,504.426361084,15.1538238525,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,155.110415753,1112.15930176,0.321971416473,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,79.934881228,435.807525635,6.36344861984,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,95.4233636979,631.099609375,0.415773272514,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,34.8651451188,92.2441711426,19.4037094116,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,53.0700876716,291.745452881,6.36344861984,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,33.2330918665,130.922119141,10.5750160217,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,26.6630499532,41.2333869934,20.6155338287,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,162.638229922,917.058044434,3.87353372574,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,45.6180847285,102.270309448,23.8806781769,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,48.5418664541,335.314331055,15.7249164581,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,52.8601743128,323.173583984,6.9468755722,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,91.7721155559,734.501159668,14.6628036499,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,50.8073241198,200.385528564,15.776640892,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,42.8761937353,442.927734375,7.90504837036,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,19.1466527569,34.7905197144,9.25020694733,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,50.7259808989,199.464187622,27.0408802032,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,55.6964983745,165.69593811,21.9817695618,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,23.3505558682,187.723098755,4.38595676422,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,63.7544351346,689.648681641,17.453704834,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,47.1226404254,323.926330566,8.93019294739,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,52.68364265,363.510131836,1.27404725552,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,55.7213579164,1802.99353027,10.2434644699,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,47.6236052982,277.356872559,6.56173992157,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,44.349178588,254.42098999,10.3843288422,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,65.1917223605,577.109802246,1.95943272114,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,97.1206992395,559.552612305,3.25781965256,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,56.6286364436,361.884155273,10.5751628876,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,44.6032536368,323.926330566,6.86856889725,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,19.0772100366,45.0126113892,8.29736328125,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,19.7945257392,54.7057647705,9.67295360565,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,52.2270585345,116.545219421,15.0748004913,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,76.1637686397,604.300292969,0.19635592401,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,48.0142342761,368.265411377,13.2916250229,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,81.0302687155,393.378662109,3.2542951107,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,45.4831889028,204.178421021,15.3687324524,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,45.3856668554,483.018371582,0.0152982538566,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,74.1037941938,982.770324707,0.00171315681655,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,48.0284992249,128.187316895,24.5782699585,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,34.9454014138,136.039382935,13.881942749,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,120.172138765,918.377258301,0.178662419319,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,203.174084656,6388.96044922,0.43655821681,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,89.9415661863,301.551391602,10.1233634949,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,52.7352707396,893.595458984,18.8912239075,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,57.4526639352,831.712158203,0.00955202896148,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,229.473627146,1859.6640625,0.179177865386,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,68.6289911481,360.840423584,7.10234355927,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,41.1433672065,221.060394287,9.74542427063,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,46.6296406603,195.672302246,10.2358074188,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,199.385668418,521.289306641,51.4599838257,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,46.9353881278,893.595458984,4.86648845673,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,114.025683369,538.194641113,0.405632287264,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,33.6156608331,560.434265137,0.00381250213832,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,37.2697561881,677.042907715,0.00944045279175,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,75.0162881984,527.030700684,0.19855158031,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,61.3582106001,508.186248779,0.0137715814635,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,82.2976434353,421.353851318,1.64646875858,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,79.1598492742,867.391357422,0.00611415505409,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,13.9259593141,143.572906494,0.0149434162304,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,46.8219750875,893.595458984,0.00118247431237,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,50.8037999723,1146.40917969,0.00116127822548,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,68.4534654035,1088.50561523,0.0087418705225,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,68.67839986,631.243041992,0.0570839680731,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,23.0779200995,568.742004395,0.00142797373701,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,28.755032767,499.344390869,0.138383701444,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,14.7600099449,246.630996704,0.00994357187301,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,47.9345094853,594.974365234,0.00832644850016,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,148.996421414,1594.18103027,2.41834259033,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,87.0889799173,446.64352417,8.5187664032,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,90.3955565911,906.958312988,0.205025568604,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,107.042486769,3477.5402832,9.09078788757,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,107.15003207,10126.4179688,5.47326183319,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,100.416041156,8538.53417969,0.233205020428,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
