asdf_id,srtm_slope_500m.none.mean,srtm_slope_500m.none.max,srtm_slope_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
71,7.72386157264,30.878112793,0.0875036790967,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,7.86701100327,33.3746681213,0.0218759346753,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,0.287176842847,1.74789106846,0.0,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,0.184088287628,2.00712251663,0.0,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,3.33679638718,20.1521778107,0.0,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,8.90207953643,40.5858230591,0.0928116589785,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,11.0976220537,35.3041267395,0.0928116589785,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,4.75516696882,30.8070755005,0.0,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,9.5760197958,33.6198959351,0.0218759346753,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,7.40461353416,36.5527801514,0.0901967212558,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,7.7630830496,26.8648014069,0.0875036790967,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,0.85896734946,7.28375291824,0.0489160679281,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,8.6855305727,29.2889499664,0.13125538826,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,11.7731526154,31.879573822,0.176368877292,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,7.54325914413,31.2243366241,0.0691777542233,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,12.8681365185,37.9632606506,0.0656277835369,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,7.38494195387,36.6205558777,0.0,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,0.969693128525,24.4580688477,0.0,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,0.349549385151,4.95326805115,0.0,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,0.399424154673,3.41378521919,0.0,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,5.91437939552,25.6347064972,0.0,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,7.96325562294,31.7742500305,0.123748794198,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,10.1862778305,31.5477161407,0.218758299947,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,1.27922645953,30.1460857391,0.0,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,6.91412874948,33.955657959,0.0,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,6.68985507416,34.7170066833,0.0691777542233,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,12.0688602931,48.1257514954,0.133065894246,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,8.97949732546,39.5043792725,0.0218759346753,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,12.9016290896,40.596950531,0.0691777542233,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,4.09102821902,23.8187007904,0.0218759346753,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
