asdf_id,gpw_v4_rev11_density.2015.count,gpw_v4_rev11_density.2015.mean,gpw_v4_rev11_density.2015.max,gpw_v4_rev11_density.2015.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
95,2337.93017578,4.03137388422,104.480140686,0.0,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,3715.12011719,5.69510794359,26.2294197083,3.94810152054,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,2497.42993164,13.9526253748,104.480133057,4.52397441864,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,2607.40991211,5.72676558664,104.480133057,3.04352355003,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,1467.63000488,9.6200506217,18.1850318909,9.15170860291,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,2961.5300293,0.768391857293,0.892457783222,0.244242683053,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,2615.75,101.73715889,104.480163574,3.68074178696,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,1663.12011719,1.27814690172,2.64537096024,0.0,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,16770.4199219,0.313244074916,9.51434516907,0.0,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,1147.42993164,4.38356735883,7.54948043823,4.27101230621,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,836.520019531,5.0334722426,7.89436626434,4.27101230621,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,912.489990234,19.596321449,263.455566406,2.69601655006,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,287.389984131,4.03911840883,4.15927839279,2.76353859901,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,227.350006104,3.64465081821,20.1359004974,2.78836512566,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,660.700012207,4.8010826614,42.3099555969,1.14247143269,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,351.070007324,11.6497875831,53.6446609497,10.4163551331,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,24.0300006866,33.1098498529,40.8620147705,4.16955804825,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,1915.38000488,9.79473303751,40.8620071411,1.17265152931,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
