asdf_id,dist_to_groads.none.mean,dist_to_groads.none.max,dist_to_groads.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
85,7674.38090754,15265.852095,0.0,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,11107.5255539,31202.7111985,0.0,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,14541.6373593,31676.6753228,0.0,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,10531.7594408,24829.1884868,0.0,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,15223.1900045,60668.4370853,0.0,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,4378.20347013,16818.191654,0.0,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,5992.63574379,18058.0176054,0.0,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,5291.11897422,18384.3920754,0.0,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,13720.1517864,20121.0259348,4128.99541165,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,4348.75808159,16963.8657568,0.0,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,3737.63093344,12413.6445602,0.0,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,8581.46751029,33765.5093257,0.0,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,16931.1762403,35996.0148026,0.0,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,8973.81216036,32223.498357,0.0,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,10270.9186703,20744.0072418,0.0,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,4318.52632296,16753.1378684,0.0,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,6198.78832283,19617.5277542,0.0,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,16955.5019111,38878.7295768,0.0,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,6611.71238795,30353.0101945,0.0,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,3523.49771864,15183.3074291,0.0,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,7631.80353085,17811.36,0.0,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,9981.7881089,20198.1210158,0.0,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,9131.94226506,14342.5470695,3497.60727082,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,4349.95333805,10856.638744,0.0,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,4283.89113589,12411.4226087,0.0,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,1989.94440787,6707.61331361,0.0,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,637.240256661,3077.78761434,0.0,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,5563.66956366,16698.15,0.0,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,4230.22059652,14341.3909289,0.0,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,2930.38169733,10227.8310657,0.0,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,8366.50961763,21354.7014716,0.0,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,2398.21474704,8665.17095426,0.0,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,1980.58230797,8431.9916773,0.0,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,3559.75219489,9261.0125393,0.0,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,4022.7229653,12453.3804479,0.0,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,3290.04959919,9570.15503797,0.0,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,2411.22754801,5745.7183445,0.0,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,9120.67162552,13328.1564245,4572.30519558,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,4562.92425007,6679.26,1536.12956514,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,1011.0473898,4572.35962018,0.0,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,3679.4943303,8905.68,0.0,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,5106.11585619,21238.6299048,0.0,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,5167.72648537,24553.3741753,0.0,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,6240.76641351,10935.6841901,0.0,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,3440.36369819,9851.53288459,0.0,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,4201.41810923,8532.26718795,0.0,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,4304.83783219,8137.72211978,0.0,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,2600.82333499,8840.38019449,0.0,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,6304.19188652,15266.2526469,0.0,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,7204.13442562,16254.1168354,0.0,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,3012.70997552,10530.5652902,0.0,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,6385.85317932,17811.36,0.0,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,6674.29410465,12545.3378144,0.0,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,4870.54361171,12746.9969675,0.0,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,4637.39496711,14014.0755658,0.0,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,3519.81018866,11582.5821126,0.0,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,875.343638871,3339.63,0.0,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,3632.18915529,12500.2862409,0.0,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,2702.3928413,8958.86070018,0.0,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,6430.07560027,13511.8737616,0.0,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,3658.76222241,13132.5578514,0.0,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,5257.87747668,22289.8723279,0.0,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,8993.50681551,25323.7610865,0.0,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,8666.10434161,38888.7929639,0.0,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,2385.38714842,8464.75520188,0.0,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,4048.47952749,11170.2730429,0.0,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,2629.45354277,7780.14704647,0.0,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,3296.1534422,11170.2730429,0.0,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,3904.34424149,12822.8642116,0.0,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,9397.9542754,20320.2067379,0.0,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,854.965510456,3083.37269763,0.0,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,3391.64690927,10231.8667091,0.0,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,2943.97717661,10366.656153,0.0,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,3165.67500793,10875.1866763,0.0,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,2085.03726113,5476.92317614,0.0,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,4965.43473709,17386.8379108,0.0,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,3770.06753172,12277.839211,0.0,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,3503.62811318,16447.2847987,0.0,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,2696.71608278,8521.51466734,0.0,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,3624.51994196,12245.31,0.0,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,2296.72511806,8070.08340482,0.0,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,11988.7838979,13007.3681493,9865.3279124,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,7651.77769488,24519.2167852,0.0,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,3632.75955917,7234.32094036,0.0,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,5385.60255181,18279.4908886,0.0,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,9456.64792054,24108.8040736,0.0,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,1559.53264527,4631.63275399,0.0,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
