asdf_id,gdp_grid.none.sum,gdp_grid.none.mean,gdp_grid.none.max,gdp_grid.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
54,702.04296875,0.620868816714,37.8392028809,0.0,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,7854.90722656,4.88485084154,61.8125839233,0.0,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,58.8865699748,0.00193580850726,2.59685587883,0.0,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,31.7918357849,0.00299714937878,1.02281749249,0.0,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,54.0574913025,0.0142578872866,1.64381551743,0.0,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,13.2380285263,0.015130387337,0.773173391819,0.0,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,16.4161891937,0.0040912921717,0.273785829544,0.0,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
61,36.8327255249,0.0222466748986,0.70662945509,0.0,ADM3,61,61,BOL,BOL-ADM3-33444609B26067698,Irupana,ADM3
62,89.504486084,0.241055880442,1.10325551033,0.0,ADM3,62,62,BOL,BOL-ADM3-33444609B18902401,Chulumani,ADM3
63,36.1477279663,0.04301675644,2.41122841835,0.0,ADM3,63,63,BOL,BOL-ADM3-33444609B62162538,Poopó,ADM3
64,2.16693377495,0.00127765173145,0.0522548221052,0.0,ADM3,64,64,BOL,BOL-ADM3-33444609B19359116,Totora,ADM3
65,55.9639282227,0.0239502326192,2.19643878937,0.0,ADM3,65,65,BOL,BOL-ADM3-33444609B40503271,Betanzos,ADM3
66,5.13881397247,0.000883297328244,0.0441590063274,0.0,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,0.178780406713,0.000659097149684,0.0279673691839,0.0,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,57.9590821266,0.00163165190786,3.1164894104,0.0,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,385.400268555,0.0762597688838,5.81870317459,0.0,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,14.6124019623,0.00219572658871,1.53134894371,0.0,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,0.215343296528,0.000794041768973,0.0264954026788,0.0,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,37.4657554626,0.00501150096812,1.18729162216,0.0,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,23.0854358673,0.0022144582362,0.9904332757,0.0,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,34.185043335,0.00355956087648,1.67502689362,0.0,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,30.6471061707,0.0702903003715,2.88524508476,0.0,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,33.9557914734,0.0157527976429,0.689477086067,0.0,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,18.1701087952,0.0123893551436,0.675656914711,0.0,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,2.33530187607,0.000329718130363,0.0610866248608,0.0,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,897.779907227,1.2933250553,39.9570121765,0.0,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,1232.32177734,1.34204679557,31.6918125153,0.0,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,462.239898682,1.21577019533,39.6199874878,0.0,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,391.74822998,10.9075306471,26.094701767,3.21672153473,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,313.819458008,0.503953704377,5.9240694046,0.000735983427148,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,398.590820312,1.5260415198,17.4374332428,0.000735983427148,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,65.7873306274,0.160064030017,3.50235176086,0.000735983427148,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,36.2931213379,0.013778182089,0.862820386887,0.0,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,58.8520240784,0.0175429848789,2.56443738937,0.0,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,79.8950805664,0.0536369117829,3.32630372047,0.0,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,46.2491378784,0.00274037421547,2.4875292778,0.0,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,158.390396118,0.115898842939,5.3850774765,0.0,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,0.299454331398,9.41929928661e-05,0.0353272035718,0.0,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,30.4305534363,0.0291632083026,1.31977558136,0.0,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,0.273520290852,0.000541700590678,0.0944565460086,0.0,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,315.274871826,0.0653490344916,9.28852367401,0.0,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,6.81141853333,0.00293572604704,0.134684965014,0.0,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,177.785583496,0.0479567793183,4.4152469635,0.0,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,202.621536255,0.0822080868573,7.19747304916,0.0,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,32.4694595337,0.0126057304016,0.980387687683,0.0,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,13.9498806,0.00957987146746,0.340760320425,0.0,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
