asdf_id,dist_to_water.none.mean,dist_to_water.none.max,dist_to_water.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
66,95692.4203721,134883.263518,57831.0585114,ADM3,66,66,BOL,BOL-ADM3-33444609B16444652,Turco,ADM3
67,159951.501852,170307.854426,152379.537555,ADM3,67,67,BOL,BOL-ADM3-33444609B61346396,Todos Santos,ADM3
68,34942.6059091,89013.3846719,0.0,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,24247.5988346,60322.3719279,0.0,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,19717.2158553,54866.3649771,0.0,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,155112.66108,163356.736951,145232.690136,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,31557.2100576,73829.0777138,0.0,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,18598.3734409,50870.926102,0.0,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,36500.460956,65882.7304238,0.0,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,15306.4350769,28775.5815436,0.0,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,38965.8644812,64341.3932476,13765.995886,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,54074.9978753,69019.02,31152.3227378,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,163150.244516,203615.728842,115823.618138,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,40616.6898477,58971.5439278,12638.3381771,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,39931.6406205,56675.3333473,23103.2302899,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,44795.0913498,60302.8791043,24844.8382882,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,22333.6800221,26103.4642921,17851.7113023,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,14392.8261351,36441.2407453,0.0,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,26750.674494,37127.33381,16698.15,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,11496.361946,25641.1291733,0.0,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,67716.0698104,82870.0737084,48290.5482821,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,41625.9339823,69213.8340216,0.0,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,46473.0868082,65108.5341549,20140.8782235,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,12345.8999038,37006.5445879,0.0,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
90,56749.7027396,69876.9008637,35984.467826,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,201404.177836,247730.394554,162909.617311,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,28104.7556289,40842.8687124,13966.9462809,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,171796.975454,186196.141559,159141.727187,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,32653.0651205,86166.7212431,0.0,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,54466.1880463,77951.6217019,33191.5449868,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,52905.4369264,86530.1959875,7599.35090376,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,60087.6375414,85921.6243102,33396.6055414,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,80069.65329,103854.810949,46544.5630551,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,8435.84600778,22759.7360958,0.0,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,254547.93149,283678.886663,218706.054272,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,48585.0450508,70326.7207039,22725.4079201,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,157907.196015,201458.553071,97012.8046785,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,236331.381904,292431.628456,167534.526978,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,98714.4584696,117938.743371,77951.6217019,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,97874.2860345,117297.638934,72947.9925809,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,40859.5427574,52465.2137964,27117.5450534,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,151808.51394,162898.302099,140943.671675,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,118439.293104,128724.276411,110498.830692,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,118130.390304,136773.842876,100236.170709,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,28418.7516754,37325.6119966,16875.2494588,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,3007.81266194,5474.27470857,0.0,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,15307.511961,43392.8096101,0.0,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,58258.3031873,77716.5877225,37124.5398366,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,57479.1225548,91643.8949569,25292.1445281,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,87446.4822954,114466.446508,65944.9723636,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,50699.4172917,66792.6,38962.35,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,8439.94438655,21486.6089364,0.0,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,12998.857971,27290.136657,0.0,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,21891.1847444,30687.0752268,13326.5036921,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,8532.74833112,23032.1764528,0.0,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,23554.8612223,30146.2855072,17712.3267797,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,30892.7603025,37123.9487144,25886.7740347,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,34058.7033865,37123.9487144,29140.7601771,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,28789.751328,33486.8740014,22645.0623215,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,39626.0372597,48694.7934402,26311.5856552,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,3997.69363071,15792.8141911,0.0,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,16593.2662239,38481.7665497,0.0,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,6687.46486851,16899.2040541,0.0,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,26206.9828492,51872.4745335,1057.19626523,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,50203.7275369,64562.1600096,39991.833428,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,27021.2747788,34978.3828965,18660.2263811,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,124824.910126,141498.903339,106914.062627,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
