asdf_id,udel_precip_v501_mean.2012.max,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2012.min,udel_precip_v501_mean.2013.max,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2013.min,udel_precip_v501_mean.2014.max,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2014.min,udel_precip_v501_mean.2015.max,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2015.min,udel_precip_v501_mean.2016.max,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2016.min,udel_precip_v501_mean.2017.max,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2017.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
28,88.35,69.0354690553,38.325,83.0666666667,63.7270690933,33.2916666667,88.5166666667,64.640714785,34.1666666667,83.7166666667,63.6032044082,31.6083333333,71.7083333333,53.3971584992,21.3416666667,85.7083333333,65.7588317716,32.425,ADM3,28,28,BOL,BOL-ADM3-33444609B10766550,Cairoma,ADM3
29,74.4416666667,57.7079537264,42.575,63.475,49.5811476202,36.4583333333,72.7,55.3212783163,39.9583333333,63.0333333333,47.897213635,34.4666666667,52.975,35.8696594281,20.5333333333,64.5166666667,48.0151846585,34.325,ADM3,29,29,BOL,BOL-ADM3-33444609B98493674,Colquiri,ADM3
30,42.575,42.575,42.575,36.4583333333,36.4583333333,36.4583333333,39.9583333333,39.9583333333,39.9583333333,34.4666666667,34.4666666667,34.4666666667,22.55,22.55,22.55,34.625,34.625,34.625,ADM3,30,30,BOL,BOL-ADM3-33444609B35095185,Ichoca,ADM3
31,83.2083333333,69.0110458194,60.675,56.2833333333,49.1770340634,44.9166666667,93.95,80.4216136293,72.2166666667,70.775,60.6333812619,54.6666666667,56.5,47.7800290738,42.65,99.0666666667,85.0054405363,76.6,ADM3,31,31,BOL,BOL-ADM3-33444609B27516383,La Guardia,ADM3
32,48.25,48.0249482442,45.3916666667,34.2833333333,31.1433561753,30.875,46.95,46.7925293837,44.95,32.0833333333,32.0052541527,31.0916666667,23.1333333333,23.1287404404,23.075,51.7,51.3253511586,46.9416666667,ADM3,32,32,BOL,BOL-ADM3-33444609B65462728,Moromoro,ADM3
33,83.2083333333,63.445764871,43.1333333333,56.2833333333,44.0024980469,26.6833333333,93.95,72.6212151175,48.75,70.775,53.851019482,32.25,56.5,41.995203947,23.4833333333,99.0666666667,77.1701337433,52.775,ADM3,33,33,BOL,BOL-ADM3-33444609B3283622,El Torno,ADM3
34,78.4833333333,49.1929728741,43.1333333333,55.25,31.1979209457,26.6833333333,81.4166666667,54.7874869613,48.75,62.4,37.6338949496,32.25,50.7333333333,28.1462706282,23.4833333333,86.4583333333,58.9613813787,52.775,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,86.5916666667,63.785817806,27.2083333333,82.75,59.3070686157,23.2666666667,86.275,64.1955429538,26.9916666667,79.9666666667,56.3601232653,17.8333333333,73.4916666667,51.1344681836,13.675,81.1,59.172586722,23.6,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,48.7666666667,46.9134851432,33.4833333333,41.7666666667,39.8010298425,26.875,54.6916666667,50.3238900226,33.2666666667,49.025,43.9711603832,30.1083333333,49.125,42.5923878056,27.3583333333,48.0333333333,44.4587301838,28.4666666667,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,60.8,49.2047300385,46.925,55.725,42.7216369039,40.275,62.175,51.9435958173,49.2416666667,53.8166666667,44.8455242862,43.2,49.4833333333,42.9073808581,40.8666666667,56.7666666667,46.389499594,43.55,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
