asdf_id,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
94,54.92152908,54.31571288,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,54.02249031,53.77597581,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,53.14421681,52.66194649,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,51.92364115,51.56841709,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,53.78750406,53.49713186,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,56.06629342,55.50936336,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,57.84922423,57.74422823,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,51.47307737,51.11988707,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,59.50802584,59.35246423,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,57.13417839,57.0757096,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,56.15236132,55.92477975,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,56.54542642,56.29909277,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,54.68247779,54.14093466,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,61.00079613,60.80958623,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,60.79089186,60.59544314,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,60.70476989,60.50295911,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,57.82288553,57.54479717,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,52.60278702,52.22000122,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,53.94776479,53.59174644,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,59.74932666,59.53725617,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,58.77656196,58.53985762,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,57.88316893,57.63857298,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,52.48445859,52.05569703,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,56.16825379,55.83564409,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,56.15244225,55.62011275,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,57.78083563,57.12663445,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,57.05104832,56.43958242,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,57.45489134,56.81231939,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,58.12745343,57.45057901,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,58.14395295,57.46399918,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,57.5134362,56.86515486,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,54.37372901,53.9286955,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,56.99430561,56.70313574,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,57.17694474,56.90573816,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,55.72121247,55.14861323,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,54.36886535,53.96754121,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,51.90770715,51.47999986,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,57.19171039,56.55781988,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,50.02519821,49.07052506,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,53.410663,53.05619351,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,55.02133181,54.70769921,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,56.26029948,55.66202004,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,53.78005965,53.40856195,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,57.23748541,56.96076992,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,52.91197695,52.49221885,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,56.57782706,56.29784511,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,58.44517422,57.7549169,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
