system:index,country,id,level,name,system:time_start,total_area,year,.geo
0_00000000000000000018,Bolivia,24,Admin2,Arque,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001a,Bolivia,26,Admin2,San Benito,1325376000000,0.9210889599815218,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000035,Bolivia,53,Admin2,Omereque,1325376000000,8.508253784179688E-4,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004f,Bolivia,79,Admin2,Quillacollo,1325376000000,16.14042066174988,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000050,Bolivia,80,Admin2,Sacaba,1325376000000,10.153997925774549,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000051,Bolivia,81,Admin2,Tiquipaya,1325376000000,2.0308487794897943,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000052,Bolivia,82,Admin2,Colcapirhua,1325376000000,11.479346381767485,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000053,Bolivia,83,Admin2,Sipe Sipe,1325376000000,8.174789116237983,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000054,Bolivia,84,Admin2,Vinto,1325376000000,4.430940644415641,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000055,Bolivia,85,Admin2,Tarata,1325376000000,0.050334456970214846,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000056,Bolivia,86,Admin2,Totora,1325376000000,0.38207547398202923,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006a,Bolivia,106,Admin2,Morochata,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000077,Bolivia,119,Admin2,Sacabamba,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000078,Bolivia,120,Admin2,Anzaldo,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000079,Bolivia,121,Admin2,Toko,1325376000000,0.016395809184235218,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007a,Bolivia,122,Admin2,Cuchumuela,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007b,Bolivia,123,Admin2,Tacachi,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007c,Bolivia,124,Admin2,Cliza,1325376000000,0.9106676463287954,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007d,Bolivia,125,Admin2,Tacopaya,1325376000000,0.0034083177490234376,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000080,Bolivia,128,Admin2,Santivañez,1325376000000,2.290356408081055,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000083,Bolivia,131,Admin2,Tolata,1325376000000,0.3232866165893554,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000087,Bolivia,135,Admin2,Cochabamba,1325376000000,69.72946691206987,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008c,Bolivia,140,Admin2,Arani,1325376000000,0.2337336933924058,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008d,Bolivia,141,Admin2,Punata,1325376000000,3.139679238639802,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a2,Bolivia,162,Admin2,Tapacarí,1325376000000,0.15478782542940028,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ee,Bolivia,238,Admin2,Bolívar,1325376000000,0.005106182678222656,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fb,Bolivia,251,Admin2,Cocapata,1325376000000,0.09783915827181947,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000010a,Bolivia,266,Admin2,Villa Tunari,1325376000000,1.2581008787190755,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000010b,Bolivia,267,Admin2,Chimoré,1325376000000,1.9358836031625788,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000010c,Bolivia,268,Admin2,Tiraque,1325376000000,0.15773994504179112,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000010d,Bolivia,269,Admin2,Shinahota,1325376000000,1.5761820411460727,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000111,Bolivia,273,Admin2,Vacas,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000112,Bolivia,274,Admin2,Pocona,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000011b,Bolivia,283,Admin2,Puerto Villarroel,1325376000000,1.5478052507242837,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000124,Bolivia,292,Admin2,Independencia,1325376000000,0.71213009937433,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000012a,Bolivia,298,Admin2,Pojo,1325376000000,0.033400613620653344,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000012b,Bolivia,299,Admin2,Entre Ríos,1325376000000,1.5296124822387696,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000012d,Bolivia,301,Admin2,Colomi,1325376000000,0.44438721704891426,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000012e,Bolivia,302,Admin2,Alalay,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000012f,Bolivia,303,Admin2,Vila Vila,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000014d,Bolivia,333,Admin2,Mizque,1325376000000,0.005961000610351563,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000014e,Bolivia,334,Admin2,Pasorapa,1325376000000,0.0152275663119447,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000e,Bolivia,14,Admin2,Chacarilla,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000010,Bolivia,16,Admin2,Papel Pampa,1325376000000,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000011,Bolivia,17,Admin2,Umala,1325376000000,0.0025614121704101564,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
