asdf_id,distance_to_drugdata_201708.none.mean,distance_to_drugdata_201708.none.max,distance_to_drugdata_201708.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
68,264128.136718,403238.835062,122997.274964,ADM3,68,68,BOL,BOL-ADM3-33444609B73204671,Concepción,ADM3
69,47623.4593563,104717.831619,0.0,ADM3,69,69,BOL,BOL-ADM3-33444609B19125904,Santa Rosa,ADM3
70,322850.112548,377452.981616,275952.314958,ADM3,70,70,BOL,BOL-ADM3-33444609B59987600,Huacaraje,ADM3
71,282294.294695,295997.308781,270226.544792,ADM3,71,71,BOL,BOL-ADM3-33444609B98058544,La Rivera,ADM3
72,401693.19148,467160.207263,343670.783099,ADM3,72,72,BOL,BOL-ADM3-33444609B65603601,Entre Ríos,ADM3
73,325704.428847,412677.149238,224241.352799,ADM3,73,73,BOL,BOL-ADM3-33444609B85871655,San Joaquín,ADM3
74,303544.929389,395222.883385,224245.236311,ADM3,74,74,BOL,BOL-ADM3-33444609B31629000,San Ramón,ADM3
75,75879.1992186,86345.2963657,63774.3253467,ADM3,75,75,BOL,BOL-ADM3-33444609B70300813,Tiahuanacu,ADM3
76,150146.434031,183179.751131,109486.391593,ADM3,76,76,BOL,BOL-ADM3-33444609B2169284,Colquechaca,ADM3
77,139878.178593,171237.090395,115492.364478,ADM3,77,77,BOL,BOL-ADM3-33444609B28265316,Pocoata,ADM3
78,381763.053171,446521.100874,315446.058228,ADM3,78,78,BOL,BOL-ADM3-33444609B5007094,Llica,ADM3
79,44213.8308149,55404.1204557,31067.7457299,ADM3,79,79,BOL,BOL-ADM3-33444609B2586032,Quillacollo,ADM3
80,23346.5144885,36849.5441445,4611.76658145,ADM3,80,80,BOL,BOL-ADM3-33444609B27378021,Sacaba,ADM3
81,30761.1619101,43149.361762,14944.631472,ADM3,81,81,BOL,BOL-ADM3-33444609B80439797,Tiquipaya,ADM3
82,43804.8263809,47764.1247198,39812.012607,ADM3,82,82,BOL,BOL-ADM3-33444609B86021401,Colcapirhua,ADM3
83,65489.0154217,78319.1152166,51642.9395192,ADM3,83,83,BOL,BOL-ADM3-33444609B57513939,Sipesipe,ADM3
84,54816.8515951,63043.1891326,45049.3717589,ADM3,84,84,BOL,BOL-ADM3-33444609B63544582,Vinto,ADM3
85,52024.4153715,66058.6901762,36879.2049129,ADM3,85,85,BOL,BOL-ADM3-33444609B91378627,Tarata,ADM3
86,5101.97491733,36144.4158775,0.0,ADM3,86,86,BOL,BOL-ADM3-33444609B10790515,Totora,ADM3
87,14512.5240226,49498.8431088,0.0,ADM3,87,87,BOL,BOL-ADM3-33444609B62366677,Buena Vista,ADM3
88,668.576339442,12819.3021751,0.0,ADM3,88,88,BOL,BOL-ADM3-33444609B65201053,San Carlos,ADM3
89,413313.650843,489802.488179,325536.328874,ADM3,89,89,BOL,BOL-ADM3-33444609B24515942,Magdalena,ADM3
