system:index,country,id,level,name,system:time_start,total_volume,year,.geo
2015_0000000000000000007c,Bolivia,124,Admin2,Cliza,1420070400000,8987390.435294118,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000007d,Bolivia,125,Admin2,Tacopaya,1420070400000,950086.2509803921,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000080,Bolivia,128,Admin2,Santivañez,1420070400000,3843002.054901961,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000083,Bolivia,131,Admin2,Tolata,1420070400000,3331092.9803921576,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000087,Bolivia,135,Admin2,Cochabamba,1420070400000,3.7504308884313726E8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000008c,Bolivia,140,Admin2,Arani,1420070400000,4606801.956862746,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000008d,Bolivia,141,Admin2,Punata,1420070400000,1.7673416858823527E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000a2,Bolivia,162,Admin2,Tapacarí,1420070400000,1902993.2392156862,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000ee,Bolivia,238,Admin2,Bolívar,1420070400000,645668.5254901961,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_000000000000000000fb,Bolivia,251,Admin2,Cocapata,1420070400000,1160246.5960784312,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000010a,Bolivia,266,Admin2,Villa Tunari,1420070400000,1.5246341254901962E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000010b,Bolivia,267,Admin2,Chimoré,1420070400000,5569636.78039216,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000010c,Bolivia,268,Admin2,Tiraque,1420070400000,5242093.164705882,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000010d,Bolivia,269,Admin2,Shinahota,1420070400000,6491212.678431374,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000111,Bolivia,273,Admin2,Vacas,1420070400000,2191763.1450980394,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000112,Bolivia,274,Admin2,Pocona,1420070400000,3326401.2705882364,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000011b,Bolivia,283,Admin2,Puerto Villarroel,1420070400000,1.5510706815686274E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000124,Bolivia,292,Admin2,Independencia,1420070400000,2755290.168627451,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000012a,Bolivia,298,Admin2,Pojo,1420070400000,1611695.5019607844,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000012b,Bolivia,299,Admin2,Entre Ríos,1420070400000,1.2698735164705882E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000012d,Bolivia,301,Admin2,Colomi,1420070400000,4384199.9333333345,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000012e,Bolivia,302,Admin2,Alalay,1420070400000,350237.31764705887,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000012f,Bolivia,303,Admin2,Vila Vila,1420070400000,612941.2823529412,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000014d,Bolivia,333,Admin2,Mizque,1420070400000,6749419.980392159,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000014e,Bolivia,334,Admin2,Pasorapa,1420070400000,1153962.776470588,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000000e,Bolivia,14,Admin2,Chacarilla,1420070400000,186718.29019607842,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000010,Bolivia,16,Admin2,Papel Pampa,1420070400000,460554.58431372547,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000011,Bolivia,17,Admin2,Umala,1420070400000,1685819.8980392157,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000014,Bolivia,20,Admin2,San Pedro Cuarahuara,1420070400000,726846.6235294117,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000019,Bolivia,25,Admin2,Coro Coro,1420070400000,1878782.5568627452,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000001b,Bolivia,27,Admin2,Sapahaqui,1420070400000,1570153.1960784316,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000001c,Bolivia,28,Admin2,Cairoma,1420070400000,769144.4156862745,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000001d,Bolivia,29,Admin2,Colquiri,1420070400000,1855012.5333333332,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000001e,Bolivia,30,Admin2,Ichoca,1420070400000,261938.74117647062,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000029,Bolivia,41,Admin2,Ancoraimes,1420070400000,2088865.2352941178,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000002b,Bolivia,43,Admin2,Puerto Carabuco,1420070400000,1891370.2901960784,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000033,Bolivia,51,Admin2,Mocomoco,1420070400000,1847300.0431372556,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000003b,Bolivia,59,Admin2,Cajuata,1420070400000,786756.2235294118,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000003c,Bolivia,60,Admin2,Inquisivi,1420070400000,1384190.3490196075,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000003d,Bolivia,61,Admin2,Irupana,1420070400000,1309627.6941176471,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000003e,Bolivia,62,Admin2,Chulumani,1420070400000,1220300.6392156864,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000004b,Bolivia,75,Admin2,Tiahuanacu,1420070400000,2911749.411764706,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000006f,Bolivia,111,Admin2,Nazacara de Pacajes,1420070400000,54136.282352941176,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000070,Bolivia,112,Admin2,Caquiaviri,1420070400000,2302715.8274509804,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000074,Bolivia,116,Admin2,Luribay,1420070400000,928925.0705882353,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000082,Bolivia,130,Admin2,Collana,1420070400000,401483.7411764706,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
