shapeName,id,year,total_sol
Caquiaviri,,1992,26.325086084000915
Luribay,,1992,7.792784987945182
Collana,,1992,2.1935379850221617
Santiago de Callapa,,1992,20.21173420636093
Catacora,,1992,9.489793706729131
Yaco,,1992,10.099815982755487
Calacoto,,1992,66.48239256511717
Sicasica,,1992,33.312243661207745
Patacamaya,,1992,20.612864333347353
Colquencha,,1992,6.186471795144618
Santiago de Machaca,,1992,22.446021515773804
Malla,,1992,5.890418538275888
Comanche,,1992,7.637968890515028
Calamarca,,1992,8.296061413106965
Viacha,,1992,117.23137266864521
Villa Libertad Licoma,,1992,3.317725172726547
Quime,,1992,17.42591806705676
Huatajata,,1992,0.4277763042087649
Laja,,1992,24.96235551507594
Mecapaca,,1992,13.381759056847041
Palca,,1992,13.631820961153686
Achocalla,,1992,31.856906465367942
El Alto,,1992,574.4936081977963
Yanacachi,,1992,10.262596557168834
Desaguadero,,1992,2.667615897493327
Jesús de Machaka,,1992,17.000222817413956
Puerto Mayor de Guaqui,,1992,4.092020332937438
Tito Yupanqui,,1992,0.3270159251622709
Pucarani,,1992,34.186062953697835
Combaya,,1992,1.4895676114979912
Coroico,,1992,19.257925169009205
Coripata,,1992,12.5761816831269
Quiabaya,,1992,1.9961422831404447
Aucapata,,1992,3.9364687669510943
Ayo Ayo,,1992,9.857077452029081
Tipuani,,1992,4.3634278804867295
Nuestra Señora de La Paz,,1992,508.6795188441435
Sorata,,1992,32.61644319380616
La Asunta,,1992,48.01789578920341
Chuma,,1992,10.511554635454916
Guanay,,1992,61.77602750003411
Teoponte,,1992,23.249199044090865
Mapiri,,1992,25.763619947780427
Charazani,,1992,42.12991484187395
Copacabana,,1992,6.052362046149718
Tacacoma,,1992,13.522393634984741
San Pedro de Tiquina,,1992,1.1231986062272508
Curva,,1992,9.943082043879176
Pelechuco,,1992,42.27549776326792
Palos Blancos,,1992,63.6693606493191
Apolo,,1992,241.96665717822083
San Buenaventura,,1992,50.803858737735176
Santiago de Huata,,1992,1.9913334910045655
Puerto Pérez,,1992,0.7447838057489959
Alto Beni,,1992,17.54504774120801
Caranavi,,1992,30.17785008838949
