asdf_id,ambient_air_pollution_2013_fus_calibrated.2012.mean,surface_pm25_annual_v5gl03.2012.mean,modis_lst_mod11c3_061_day_annual_mean.2012.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
140,7.63010125571,26.7334735126,297.278682851,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,7.2129241188,26.4741018359,300.776622185,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,5.75814568372,21.6614697499,296.673028028,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,6.21276523909,20.0656002003,296.19758381,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,6.75216853494,20.3682035035,295.180861302,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,7.03595311619,13.9245352754,298.983766273,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,13.6721554579,29.7778897077,300.941500105,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,12.8000669571,29.7577076533,300.742374284,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,13.0391534666,35.0471063666,303.569704956,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,5.60461343074,20.8948531174,287.863223045,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,6.85907985849,17.979194332,294.58010851,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,6.88998377444,22.2443402834,295.409414419,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,7.4331729416,23.255939432,296.773517768,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,12.4515825052,29.076142671,290.682275148,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,9.52851844907,26.7439040334,287.283011792,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,6.02456125435,21.2375471928,291.217776432,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,6.40413306906,22.4886901564,297.062532788,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,6.75487755371,23.1742889118,296.381211266,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,6.83937322013,23.9102634552,293.780384283,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,7.03829681994,23.5759266108,296.21557362,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,5.86442743139,23.5239797075,293.752914184,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,5.56738785821,26.7382357425,287.12521074,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,6.4411120562,25.2230940878,294.763284363,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,6.08485116808,18.0006316105,293.354764571,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,6.81373818885,18.7127961039,295.729357824,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,6.38374717028,18.8191686208,295.118880968,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,10.257404126,18.8333271004,289.004295752,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,5.86383045986,21.9228888262,293.753821768,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,5.99467259713,21.2193687212,293.64037283,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,9.29523641631,31.4562381724,291.253235804,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,6.81317053638,32.0034899727,292.84474362,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,4.43327437802,23.6658291621,297.154630591,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,5.52504533596,26.1519862165,294.237505983,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,6.32394041344,21.4252321237,295.847898265,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,7.40569305275,17.9506450111,296.198682951,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,9.04857816698,33.0780970844,295.903524804,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,6.41250816822,27.1922757246,289.960591924,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,5.73875060234,23.9846877968,288.293558484,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,11.4655870041,33.0519340346,294.242912081,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,5.18676996975,21.591337843,296.274447266,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,7.0288308051,30.7908213626,292.129484669,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,8.8961645756,34.0405788822,296.38576324,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,6.88513416265,31.6940040653,294.687911796,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,6.32729055215,27.3059434826,292.035123024,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,6.1694858227,14.5072682088,299.306833341,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,6.1382633116,18.0429760796,289.328958903,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,6.26156085094,18.2018567502,296.401414707,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,6.83868244179,15.1132494215,297.291287131,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,6.42318972931,14.3802249517,298.702465679,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,6.41528735041,17.0401577356,298.90208704,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,7.05401873866,17.8863726366,296.725338269,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,8.77673703546,16.396330706,298.859298109,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,5.08455612435,28.2891473781,292.739251055,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,8.40923449395,17.8604487988,297.837070911,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,8.210197378,17.8462151475,296.46645468,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,5.83607402887,16.8025008506,295.768090653,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,7.39998183918,19.13179368,288.036144972,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,10.3478209577,19.7199366706,299.183307877,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,5.72207856221,17.8759624328,298.671690118,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,5.711853978,18.3669411713,296.774081241,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
