airTemp2012.max,airTemp2013.max,airTemp2014.max,airTemp2015.max,airTemp2016.max,airTemp2017.max,id
9.73333333333,8.85833333333,8.78333333333,9.73333333333,9.25,8.21666666667,50
20.2833333333,20.2583333333,20.525,20.6416666667,20.9333333333,20.725,51
21.825,21.625,21.8916666667,22.1416666667,22.1916666667,22.1,52
21.825,21.625,21.8916666667,22.1416666667,22.1916666667,22.1,53
24.925,24.4583333333,24.7333333333,25.15,24.8416666667,25.1916666667,54
26.1333333333,25.6666666667,25.9916666667,26.4583333333,26.0166666667,26.4583333333,55
28.7833333333,28.5416666667,28.8333333333,29.05,29.2166666667,29.15,56
27.075,26.6083333333,26.875,27.4333333333,27.0916666667,27.25,57
26.2916666667,25.8666666667,26.225,26.6583333333,26.3666666667,26.55,58
23.8,23.725,23.9583333333,24.1083333333,24.425,24.2666666667,59
25.9916666667,25.8416666667,26.0916666667,26.2833333333,26.575,26.4,60
23.8,23.725,23.9583333333,24.1083333333,24.425,24.2666666667,61
23.8,23.725,23.9583333333,24.1083333333,24.425,24.2666666667,62
10.425,10.2416666667,10.5666666667,10.75,11.3083333333,10.9916666667,63
8.41666666667,8.39166666667,8.59166666667,8.825,9.38333333333,8.9,64
21.4333333333,20.7916666667,21.1833333333,21.6583333333,20.9,20.9,65
8.93333333333,8.64166666667,8.84166666667,9.39166666667,9.74166666667,9.28333333333,66
4.83333333333,4.35,4.55833333333,5.33333333333,5.475,5.1,67
26.2583333333,25.9916666667,26.2666666667,26.9166666667,26.4666666667,26.6666666667,68
27.3833333333,27.0416666667,27.3333333333,27.75,27.525,27.7,69
27.5,27.2416666667,27.425,28.1,27.6083333333,27.875,70
4.83333333333,4.35,4.55833333333,5.33333333333,5.475,5.1,71
24.425,24.1333333333,24.525,24.675,23.9916666667,24.7333333333,72
27.775,27.2,27.3333333333,28.0,27.5583333333,27.825,73
27.775,27.2416666667,27.425,28.1,27.6083333333,27.875,74
8.525,8.65,8.86666666667,8.83333333333,9.24166666667,8.94166666667,75
18.1916666667,18.075,18.3083333333,18.4916666667,18.7916666667,18.2166666667,76
14.6833333333,14.3083333333,14.4916666667,14.9083333333,14.975,14.2416666667,77
7.83333333333,7.40833333333,7.61666666667,8.29166666667,8.51666666667,8.04166666667,78
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,79
18.35,18.625,18.6583333333,18.825,19.475,18.9833333333,80
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,81
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,82
20.1166666667,20.3083333333,20.35,20.5,21.1333333333,20.5333333333,83
7.93333333333,8.35833333333,8.325,8.48333333333,9.175,8.74166666667,84
18.35,18.625,18.6583333333,18.825,19.475,18.9833333333,85
30.1,29.9666666667,30.2,30.4583333333,30.5416666667,30.5166666667,86
25.8916666667,25.4583333333,25.7833333333,26.2083333333,25.85,26.1666666667,87
25.8916666667,25.4583333333,25.7833333333,26.2083333333,25.85,26.1666666667,88
27.5,27.2416666667,27.425,28.1,27.6083333333,27.875,89
25.8916666667,25.4583333333,25.7833333333,26.2083333333,25.85,26.1666666667,90
12.875,12.575,12.9333333333,13.2416666667,13.275,13.0583333333,91
23.475,23.3083333333,23.6833333333,23.6333333333,22.9583333333,23.7666666667,92
12.875,12.575,12.9333333333,13.2416666667,13.275,13.0583333333,93
24.8333333333,24.7833333333,24.825,25.0166666667,24.3333333333,25.0666666667,94
