,distanceDia2017mean,id
134,321781.696614,134
135,347761.23908,135
136,344985.019404,136
137,358095.651383,137
138,293666.23449,138
139,353307.369579,139
140,386486.97293,140
141,376680.805586,141
142,308240.001483,142
143,292748.47903,143
144,275265.436449,144
145,339946.691508,145
146,185402.830372,146
147,219937.262984,147
148,101811.102037,148
149,268129.871546,149
150,277170.335526,150
151,260602.587257,151
152,249587.036682,152
153,248658.824658,153
154,250879.625257,154
155,213739.222739,155
156,240129.183682,156
157,239048.218042,157
158,231029.86344,158
159,236217.702661,159
160,217961.17496,160
161,204002.754249,161
162,344498.170219,162
163,269260.599119,163
164,270516.860189,164
165,259541.315048,165
166,229561.928747,166
167,215358.177749,167
168,184697.475899,168
169,174779.374026,169
170,178732.94885,170
171,165133.609205,171
172,152264.05719,172
173,279019.775483,173
174,704007.398189,174
175,120662.340262,175
176,179308.738122,176
177,158844.789625,177
178,173881.067054,178
179,177105.796929,179
180,136139.982519,180
181,90437.8266094,181
182,113670.114914,182
183,140481.999744,183
184,634830.339537,184
185,233552.031124,185
186,657714.925707,186
187,598411.437936,187
188,630111.369078,188
189,632467.459479,189
190,665392.023492,190
191,672175.147226,191
192,134476.620668,192
193,722822.87746,193
194,706884.176764,194
195,582817.564158,195
196,227761.636789,196
197,710077.053004,197
198,635511.65188,198
199,629379.669148,199
200,618447.803139,200
201,569458.982347,201
202,580518.15343,202
203,603313.811497,203
204,513817.076428,204
205,576723.846371,205
206,589293.795396,206
207,155568.432561,207
208,165084.767214,208
209,98426.9418061,209
210,81188.1572003,210
211,31272.3385658,211
212,41760.1537941,212
213,161346.670256,213
214,97314.1979498,214
215,66742.0620633,215
216,282758.255059,216
217,283400.52617,217
218,191797.617279,218
219,259986.38729,219
220,296566.905888,220
221,295079.926631,221
222,288873.88596,222
223,245142.794353,223
224,309102.579059,224
225,340278.863672,225
226,322728.851685,226
227,345478.644173,227
228,396010.243468,228
229,413389.259541,229
230,213055.875858,230
231,223576.844708,231
232,466351.166749,232
233,329059.251139,233
234,234504.837492,234
235,113646.831483,235
236,138609.499829,236
237,205031.687592,237
238,392175.118961,238
239,213910.961901,239
240,193678.128768,240
241,684196.374097,241
242,196446.57613,242
243,642736.284098,243
244,559443.542282,244
245,586193.409535,245
246,595961.002981,246
247,604950.995434,247
248,643099.76012,248
249,685796.351522,249
250,697228.770837,250
251,237069.29884,251
252,604793.6269,252
253,682089.628249,253
254,541870.694846,254
255,542819.062493,255
256,603986.484176,256
