distancedistanceCoast2017mean,distancedistanceCoast2017max,distancedistanceCoast2017min,id
434673.1183,444580.485849,426353.85289,84
457015.076421,470367.236908,446562.839284,85
555553.544156,574333.354815,535474.924218,86
698427.525775,730978.407589,649389.751467,87
706332.886171,724126.176078,683440.587959,88
932594.487363,1005629.03436,842891.411141,89
736602.024691,755393.857884,720018.588775,90
361902.117488,396989.133783,329516.51543,91
554872.943353,577764.721651,523694.254792,92
386235.213329,398868.650934,371833.764891,93
702166.730388,752561.786571,657390.724957,94
508548.19654,528957.92369,483125.715589,95
639249.560131,671111.385623,597029.41185,96
556819.538242,588552.013738,532005.495344,97
520013.906121,544091.622674,497779.778878,98
487937.910051,524311.942972,462333.158116,99
275194.253876,315982.389889,242090.602422,100
566365.042243,594018.790625,525208.490433,101
230267.046181,267887.458579,203985.238686,102
303433.49557,393456.11005,213283.080994,103
491731.448983,506518.858737,479154.762325,104
497692.222697,519911.134748,482602.702122,105
419838.658743,437398.28323,402717.484923,106
172406.34919,182601.750082,155151.48444,107
205537.928071,215000.594092,194645.133599,108
205657.358558,223230.912047,192928.53491,109
373388.424162,381979.625871,360708.000396,110
234413.814269,237035.579077,231654.24139,111
217912.196671,256518.068893,173265.700153,112
267413.65939,287940.297215,248589.542335,113
265810.896231,296750.033034,230989.278031,114
490931.965823,513099.767896,465947.827546,115
321155.204815,335157.306358,302373.224819,116
354175.875874,367742.897609,341030.411434,117
446003.167398,460159.654991,430055.949169,118
484364.127064,493608.005367,474447.678814,119
469620.721092,483110.709975,454351.408287,120
472980.990081,478660.05535,467603.005525,121
487619.079035,492757.757871,480854.471351,122
486879.773951,491269.607914,482523.516249,123
472792.159702,478325.370954,467831.130376,124
395900.968219,413666.739676,381018.439078,125
332534.9639,345839.262273,317117.557633,126
307901.229216,335011.388018,281750.868798,127
443968.180796,455044.20651,435030.497735,128
363165.088944,385599.157763,335317.617126,129
273344.506123,287707.519475,262879.280994,130
467348.699658,474643.425883,459167.092315,131
736035.552306,750230.979718,721222.76239,132
317031.465247,329335.66317,307508.517909,133
238601.84846,259244.842259,216629.494602,134
453097.704398,461863.740589,440724.439778,135
330688.158942,363687.896274,280122.511742,136
155589.384215,171672.966066,141818.538903,137
336672.92693,349458.363112,326093.412186,138
191457.571281,229073.214045,134679.706397,139
494360.031475,501882.178919,485111.956034,140
484493.677724,492444.188431,476736.835842,141
309329.48167,332193.929385,282362.117656,142
288675.943706,306326.050491,268187.160313,143
271206.864388,287024.938726,258744.882254,144
175494.835558,200992.030895,136528.6607,145
750876.382435,819838.297823,711449.724863,146
808826.066961,874713.946186,720844.72852,147
681416.785708,813713.127093,573029.22041,148
345004.640272,353755.077803,332620.733365,149
257569.077986,269656.181247,244791.207649,150
290280.325056,303285.481127,276641.986425,151
284239.098626,304202.708516,262800.784353,152
376475.167872,386100.536798,366675.006728,153
361962.105091,375600.008754,347425.89474,154
299706.102802,301968.585284,296442.446284,155
283467.114895,304762.581941,266265.533101,156
313082.818398,323068.266704,301049.130263,157
329728.135075,343325.203229,319329.343201,158
304527.467093,312267.30425,295740.376819,159
312343.941406,331775.229915,298864.541476,160
348969.005292,367217.562205,334011.82703,161
399541.468602,428593.59469,371809.763767,162
244381.181457,249773.30996,238608.370446,163
248941.522469,268727.315773,229389.823307,164
255583.557653,265876.025557,242804.600658,165
284456.825346,286453.477654,282140.623159,166
304841.266705,338603.984111,271191.401881,167
330417.218355,339477.100374,323983.532229,168
369254.23982,396011.887483,341860.959621,169
382411.654873,414434.227596,351678.380439,170
352208.927711,360627.525921,344931.113815,171
361710.734775,375331.492795,352155.715765,172
286829.591338,305877.86745,271463.137745,173
595440.278035,611182.311229,577504.869405,174
395305.080607,409422.253296,380587.913673,175
353579.746828,408246.625561,310406.656411,176
355064.099571,389204.947642,328623.530311,177
424144.514004,463262.818567,378793.105088,178
337715.0327,354007.654367,319532.668104,179
383477.373786,436752.638141,328641.925602,180
435820.603536,462674.66388,408988.959764,181
400373.085502,425590.183836,373542.412609,182
379543.496696,416478.282656,338850.100125,183
468261.794728,490326.308149,444124.361674,184
281925.135117,291543.644166,271721.484637,185
583387.943241,604190.4297,561697.872243,186
481801.104584,498322.512813,468186.888378,187
495263.835475,513183.268952,467091.456153,188
535514.967523,567217.089324,505623.757346,189
613831.120347,628380.927564,598272.75454,190
675892.012503,697115.187619,658371.844325,191
381577.374192,409462.772166,351368.22531,192
634778.378201,659339.901992,609145.675873,193
633328.12368,660073.171471,603897.53856,194
464547.04301,486239.889551,440468.333863,195
285364.744366,291770.76398,280517.735379,196
679323.555983,691732.98215,668519.911489,197
606215.389419,617778.014718,597822.982166,198
589041.043483,605744.61754,576013.101029,199
567011.483011,580120.99971,554350.577277,200
516459.35207,528208.714666,503282.133712,201
536420.96726,553038.483115,523332.169219,202
597537.55408,611019.373715,585543.227127,203
470794.227544,483133.251474,455409.712741,204
555072.241148,572763.182277,538320.860561,205
577994.437326,588864.333665,563776.335822,206
372819.28552,402207.622422,347515.825571,207
378171.124,424899.522366,339078.044308,208
469194.983359,497255.835525,445185.579239,209
456193.252967,516687.904583,399201.565733,210
523564.049019,551244.350983,489048.79355,211
524633.494414,561789.054175,497986.142856,212
647302.763304,758158.121089,513494.996673,213
533714.136053,609395.181973,475422.565476,214
644388.603356,787348.086176,537230.090029,215
879761.791734,916579.76412,844011.569875,216
877501.260141,917470.112548,844051.546666,217
788049.764424,904696.239521,673458.17401,218
865477.993947,969018.801492,768260.7992,219
725623.292654,758863.362578,694293.76031,220
804483.03461,903067.96515,743235.23371,221
874713.882011,931405.267387,819838.297823,222
788218.754507,853540.31795,712702.764462,223
859226.543151,922746.103678,807343.758098,224
911958.179755,977613.512549,852620.914817,225
933168.576985,1012114.48923,875101.375117,226
939776.233727,991346.898633,900824.982446,227
982231.374077,1042793.61844,927311.391307,228
1025285.50654,1072573.53521,976073.238685,229
300507.55172,308260.557572,293610.212922,230
291120.328208,302212.903665,282178.577149,231
416979.144249,426226.160223,406994.239799,232
707913.929782,736858.054293,678091.228132,233
692011.938232,767798.836586,613920.619034,234
441793.905735,457597.09589,426711.311739,235
415665.938608,439813.130682,388699.789396,236
309005.711749,319864.730118,299711.172519,237
390641.299729,413448.998537,368988.745593,238
299112.616302,304413.918716,293347.859106,239
324023.327184,333468.086006,313084.614438,240
662271.194911,681419.227766,642876.377808,241
319826.286292,339775.781619,294016.719731,242
629197.260277,649769.021989,604419.162937,243
589142.073068,605910.899178,573216.751353,244
636267.172834,651669.827851,623309.371043,245
621434.555877,646516.037978,602420.212592,246
749676.10264,826137.430274,678507.732259,247
735364.877079,776700.702648,699476.139033,248
687814.411661,708958.834379,669531.722118,249
694380.510569,714858.60679,672337.333439,250
455950.542114,495642.097916,409378.193979,251
662110.655273,702301.995011,629429.945374,252
697947.307531,717806.848718,674239.448925,253
523208.318523,551185.091164,487067.352514,254
564034.945314,581733.963814,545968.087366,255
683508.429975,705917.657734,666143.959856,256
652487.340547,661667.38064,640844.275419,257
671643.553707,683253.016053,660476.281528,258
738195.504722,794542.041603,690385.260185,259
786572.6409,804881.616203,770090.827307,260
660203.903075,694602.947704,609711.819093,261
864941.599726,935419.401753,803193.997456,262
860993.834201,880385.292676,842785.329119,263
866178.731057,888232.168425,836393.76334,264
975013.148605,1030616.02306,908845.959902,265
542477.331527,662519.082693,449341.22255,266
610784.886859,656531.810438,559149.438244,267
522494.638548,554830.547087,484027.113678,268
551162.141578,571569.906698,526295.113852,269
757760.82559,771733.121936,747995.230046,270
811787.966119,870600.376821,769798.447178,271
741051.663726,794249.467922,684491.882017,272
509444.64579,524868.834139,499193.772849,273
529536.806273,547181.579854,509641.180345,274
798180.283764,814502.576377,783909.283721,275
775147.046306,792605.485641,755021.857917,276
768976.544433,789031.978745,750692.984118,277
890489.954718,975963.821908,793488.0446,278
772184.287998,788555.83538,755599.659004,279
761644.96225,787411.37292,745510.843125,280
652354.583745,671592.516095,633164.425286,281
668349.061082,682564.294093,654542.036611,282
596379.022924,619643.965502,573586.028032,283
749355.148967,758888.28475,735105.453898,284
1200493.97456,1270114.7348,1117140.80108,285
1220041.10299,1282815.22532,1161242.26691,286
1122475.07006,1181128.32267,1066003.24809,287
1221054.87252,1312020.72803,1135119.93127,288
901355.154899,1188485.29049,694252.595839,289
1047928.32705,1153805.66806,950029.604563,290
1093304.16886,1167871.30005,1014806.94056,291
399229.547519,414546.849928,384575.557432,292
1067157.48354,1173166.27571,946290.513056,293
870039.774212,952296.123608,801579.135372,294
959055.480723,1086902.0565,840528.739766,295
724175.702327,792060.605249,679173.834262,296
912847.106937,945429.840203,874184.706642,297
584317.277892,613190.464778,560535.683879,298
623436.919863,655525.075356,578119.449131,299
516285.454333,535862.114665,487477.735094,300
484353.111252,498628.02224,472590.627199,301
500765.492056,514301.131384,489891.218789,302
493253.350669,508011.200592,478728.326316,303
599573.612587,723271.756633,459163.899875,304
368522.637435,400476.770366,345581.444745,305
350154.209317,409688.578296,297985.895886,306
266644.37265,273932.462057,259009.39691,307
181721.04876,233638.949215,127378.129738,308
251880.677993,277113.152122,232183.603339,309
227253.242165,250848.84426,196642.914821,310
199096.773081,210412.431936,183602.86673,311
232756.638467,249304.081994,217765.966527,312
418297.307841,436637.566818,401881.289275,313
269649.944451,316166.309998,218010.622413,314
442194.771198,498872.028468,385697.2364,315
405673.300022,437772.698329,373795.470593,316
201008.869392,232976.689979,162843.114844,317
816116.256615,861558.307499,758482.481979,318
769366.306266,853011.935742,661508.897203,319
626095.092932,663054.170387,585180.237506,320
606845.711071,615520.963415,594057.054729,321
551648.533893,570663.930747,529646.479877,322
310210.345844,328251.10181,290095.664465,323
309692.27278,315807.845578,301315.241761,324
151088.249209,188763.316589,120429.381158,325
317424.420476,334149.928897,290294.246098,326
265836.492583,279564.287996,257914.705646,327
215757.397415,239704.900224,190704.4896,328
486651.355052,505001.242393,470285.84489,329
390379.567127,433574.224743,348221.321889,330
398657.576836,414583.875302,382854.175237,331
495208.657619,516406.860281,476648.155318,332
519015.322825,541844.093521,492129.481264,333
601521.255953,631690.35337,574997.506773,334
452061.8849,496930.636605,402524.438309,335
516706.8204,548657.67709,491184.850223,336
460235.792153,509097.721043,409157.666871,337
577093.578811,624180.283468,521742.347462,338
