,distanceCoast2017max,id
190,628380.927564,190
191,697115.187619,191
192,409462.772166,192
193,659339.901992,193
194,660073.171471,194
195,486239.889551,195
196,291770.76398,196
197,691732.98215,197
198,617778.014718,198
199,605744.61754,199
200,580120.99971,200
201,528208.714666,201
202,553038.483115,202
203,611019.373715,203
204,483133.251474,204
205,572763.182277,205
206,588864.333665,206
207,402207.622422,207
208,424899.522366,208
209,497255.835525,209
210,516687.904583,210
211,551244.350983,211
212,561789.054175,212
213,758158.121089,213
214,609395.181973,214
215,787348.086176,215
216,916579.76412,216
217,917470.112548,217
218,904696.239521,218
219,969018.801492,219
220,758863.362578,220
221,903067.96515,221
222,931405.267387,222
223,853540.31795,223
224,922746.103678,224
225,977613.512549,225
226,1012114.48923,226
227,991346.898633,227
228,1042793.61844,228
229,1072573.53521,229
230,308260.557572,230
231,302212.903665,231
232,426226.160223,232
233,736858.054293,233
234,767798.836586,234
235,457597.09589,235
236,439813.130682,236
237,319864.730118,237
238,413448.998537,238
239,304413.918716,239
240,333468.086006,240
241,681419.227766,241
242,339775.781619,242
243,649769.021989,243
244,605910.899178,244
245,651669.827851,245
246,646516.037978,246
247,826137.430274,247
248,776700.702648,248
249,708958.834379,249
250,714858.60679,250
251,495642.097916,251
252,702301.995011,252
253,717806.848718,253
254,551185.091164,254
255,581733.963814,255
256,705917.657734,256
257,661667.38064,257
258,683253.016053,258
259,794542.041603,259
260,804881.616203,260
261,694602.947704,261
262,935419.401753,262
263,880385.292676,263
264,888232.168425,264
265,1030616.02306,265
266,662519.082693,266
267,656531.810438,267
268,554830.547087,268
269,571569.906698,269
270,771733.121936,270
271,870600.376821,271
272,794249.467922,272
273,524868.834139,273
274,547181.579854,274
275,814502.576377,275
276,792605.485641,276
277,789031.978745,277
278,975963.821908,278
279,788555.83538,279
280,787411.37292,280
281,671592.516095,281
282,682564.294093,282
283,619643.965502,283
284,758888.28475,284
285,1270114.7348,285
286,1282815.22532,286
287,1181128.32267,287
288,1312020.72803,288
289,1188485.29049,289
290,1153805.66806,290
291,1167871.30005,291
