esaLandCover2012_grassland,esaLandCover2012_count,esaLandCover2012_sparse_vegetation,esaLandCover2012_bare_areas,esaLandCover2012_shrubland,esaLandCover2012_no_data,esaLandCover2012_rainfed_cropland,esaLandCover2012_water_bodies,esaLandCover2012_forest,esaLandCover2012_wetland,esaLandCover2012_mosaic_cropland,esaLandCover2012_irrigated_cropland,esaLandCover2012_snow_ice,esaLandCover2012_urban,esaLandCover2013_grassland,esaLandCover2013_count,esaLandCover2013_sparse_vegetation,esaLandCover2013_bare_areas,esaLandCover2013_shrubland,esaLandCover2013_no_data,esaLandCover2013_rainfed_cropland,esaLandCover2013_water_bodies,esaLandCover2013_forest,esaLandCover2013_wetland,esaLandCover2013_mosaic_cropland,esaLandCover2013_irrigated_cropland,esaLandCover2013_snow_ice,esaLandCover2013_urban,esaLandCover2014_grassland,esaLandCover2014_count,esaLandCover2014_sparse_vegetation,esaLandCover2014_bare_areas,esaLandCover2014_shrubland,esaLandCover2014_no_data,esaLandCover2014_rainfed_cropland,esaLandCover2014_water_bodies,esaLandCover2014_forest,esaLandCover2014_wetland,esaLandCover2014_mosaic_cropland,esaLandCover2014_irrigated_cropland,esaLandCover2014_snow_ice,esaLandCover2014_urban,esaLandCover2015_grassland,esaLandCover2015_count,esaLandCover2015_sparse_vegetation,esaLandCover2015_bare_areas,esaLandCover2015_shrubland,esaLandCover2015_no_data,esaLandCover2015_rainfed_cropland,esaLandCover2015_water_bodies,esaLandCover2015_forest,esaLandCover2015_wetland,esaLandCover2015_mosaic_cropland,esaLandCover2015_irrigated_cropland,esaLandCover2015_snow_ice,esaLandCover2015_urban,esaLandCover2016_grassland,esaLandCover2016_count,esaLandCover2016_sparse_vegetation,esaLandCover2016_bare_areas,esaLandCover2016_shrubland,esaLandCover2016_no_data,esaLandCover2016_rainfed_cropland,esaLandCover2016_water_bodies,esaLandCover2016_forest,esaLandCover2016_wetland,esaLandCover2016_mosaic_cropland,esaLandCover2016_irrigated_cropland,esaLandCover2016_snow_ice,esaLandCover2016_urban,id
8430,17040,3778,4133,447,0,76,33,0,0,142,0,0,1,8430,17040,3778,4133,447,0,76,33,0,0,142,0,0,1,8462,17040,3755,4124,447,0,76,33,0,0,142,0,0,1,8462,17040,3755,4124,447,0,76,33,0,0,142,0,0,1,8468,17040,3766,4107,447,0,76,33,0,0,142,0,0,1,112
280,11885,471,11108,26,0,0,0,0,0,0,0,0,0,280,11885,471,11108,26,0,0,0,0,0,0,0,0,0,280,11885,471,11108,26,0,0,0,0,0,0,0,0,0,280,11885,471,11108,26,0,0,0,0,0,0,0,0,0,275,11885,473,11111,26,0,0,0,0,0,0,0,0,0,113
2114,36201,5976,26163,1406,0,21,130,379,0,12,0,0,0,2110,36201,5934,26209,1406,0,21,130,379,0,12,0,0,0,2110,36201,5934,26209,1406,0,21,130,379,0,12,0,0,0,2110,36201,5934,26209,1406,0,21,130,379,0,12,0,0,0,2075,36201,5946,26232,1406,0,21,130,379,0,12,0,0,0,114
2322,18126,9115,911,5760,0,3,0,15,0,0,0,0,0,2320,18126,9113,911,5764,0,3,0,15,0,0,0,0,0,2319,18126,9114,911,5764,0,3,0,15,0,0,0,0,0,2319,18126,9114,911,5764,0,3,0,15,0,0,0,0,0,2111,18126,9322,911,5764,0,3,0,15,0,0,0,0,0,115
1438,4961,1264,128,1887,0,2,0,187,13,15,0,0,27,1467,4961,1244,119,1887,0,2,0,187,13,15,0,0,27,1460,4961,1246,119,1886,0,2,0,187,13,15,0,0,33,1460,4961,1246,119,1886,0,2,0,187,13,15,0,0,33,1448,4961,1240,119,1904,0,2,0,187,13,15,0,0,33,116
686,3614,875,1372,493,0,1,31,15,34,28,0,0,79,686,3614,875,1367,493,0,1,31,15,34,28,0,0,84,651,3614,909,1362,493,0,1,31,15,34,28,0,0,90,651,3614,908,1359,493,0,1,31,15,34,28,0,0,94,644,3614,915,1359,493,0,1,31,15,34,28,0,0,94,117
2402,4268,588,109,931,0,63,0,163,0,10,0,0,2,2375,4268,591,109,954,0,63,0,163,0,10,0,0,3,2375,4268,591,107,954,0,63,0,163,0,10,0,0,5,2375,4268,591,106,953,0,63,0,163,0,10,0,0,7,2355,4268,611,106,953,0,63,0,163,0,10,0,0,7,118
1016,2162,779,176,63,0,83,0,13,0,32,0,0,0,1016,2162,779,176,63,0,83,0,13,0,32,0,0,0,1046,2162,749,176,63,0,83,0,13,0,32,0,0,0,1046,2162,749,176,63,0,83,0,13,0,32,0,0,0,1045,2162,749,176,63,0,84,0,13,0,32,0,0,0,119
4017,7388,1120,218,1264,0,463,0,250,0,49,0,0,7,4036,7388,1103,216,1264,0,463,0,250,0,49,0,0,7,4142,7388,1003,210,1263,0,463,0,250,0,49,0,0,8,4141,7388,1003,210,1263,0,463,0,250,0,49,0,0,9,4125,7388,1019,210,1263,0,463,0,250,0,49,0,0,9,120
350,683,16,207,2,0,61,0,0,0,46,0,0,1,350,683,16,207,2,0,61,0,0,0,46,0,0,1,350,683,16,207,2,0,61,0,0,0,46,0,0,1,350,683,16,207,2,0,61,0,0,0,46,0,0,1,350,683,16,207,2,0,61,0,0,0,46,0,0,1,121
