airTemp2012.mean,airTemp2013.mean,airTemp2014.mean,airTemp2015.mean,airTemp2016.mean,airTemp2017.mean,id
13.7697551244,13.6495353378,13.8607076264,14.0698764267,14.3882512928,13.7825433969,40
20.2833333333,20.2583333333,20.525,20.6416666667,20.9333333333,20.725,41
7.45239242385,6.70645241398,6.37099180709,7.03887656057,6.85282559826,6.39539091638,42
16.3055556928,16.2879630999,16.5472223594,16.6157408796,16.9740742106,16.6620371772,43
5.23142003655,4.7605897588,4.97234310338,5.72057290743,5.8817346828,5.48175742459,44
26.6689849527,26.22000443,26.6107709566,27.0351941874,26.8162216754,26.9061380263,45
9.90444340394,8.97630762734,8.90510313795,9.93022072916,9.33912749962,8.40560386507,46
8.5603801342,7.22748539433,6.85730995381,8.39546785185,7.39517545098,6.10453217429,47
24.5377983116,24.5287230191,24.4692997007,24.6563563481,24.2413786002,24.8908703401,48
10.4757967766,9.2842387433,9.0489861061,10.3605696324,9.47797661411,8.2444309704,49
8.85736968556,7.84899250462,7.68747757644,8.82132179882,8.1829825525,7.07755344569,50
12.1071817859,12.0286985819,12.3112042839,12.4200310514,12.7554422518,12.4390411723,51
20.8080913855,20.5647515038,20.8957104453,21.1055277736,21.0599504186,20.9708669237,52
20.4143375239,20.1791989263,20.5222808002,20.7110256279,20.6768605948,20.5435304155,53
24.8095744699,24.343971633,24.6195035479,25.0356382997,24.7278368812,25.0757092217,54
25.1644678802,24.7019143726,24.98773112,25.4316671706,25.0752944349,25.4382698733,55
26.4449611052,25.9700390012,26.3297120889,26.6779247341,26.5416220174,26.662595581,56
26.7476167313,26.3635028288,26.6762190683,27.2234960898,26.8785472531,27.0193784262,57
25.7484926526,25.3011332946,25.6533404198,26.1543677544,25.7696014896,26.0187816099,58
15.9732021952,16.0298679527,16.1681093501,16.266906,16.7664417742,16.3667212189,59
18.0493598381,18.0857889497,18.2320566978,18.3586931866,18.8448179053,18.4528988075,60
18.4329408732,18.5115469738,18.69669175,18.7347067964,19.1702639002,18.8808468919,61
20.277047651,20.3456469086,20.5579684071,20.5738718767,20.9551711585,20.7310173691,62
8.7499316981,8.746421773,9.01985023325,9.15471575747,9.74923272761,9.30602692653,63
6.92917700223,6.88929605172,7.05060444772,7.31797154577,7.81600038411,7.25514989961,64
15.3343140212,14.6579396327,14.9491609043,15.4647823066,14.8320909724,14.1980405187,65
6.8034100704,6.49162702321,6.67930590895,7.24806754037,7.55281911722,7.12558318982,66
2.78375043812,2.23620040833,2.46058791577,3.28910182949,3.3665517997,3.00760597381,67
25.1358396418,24.7084881022,25.092502395,25.7955443975,25.475835936,25.7755276917,68
25.9170775301,25.4885685637,25.835713615,26.2896584241,25.9442410574,26.1956208519,69
26.928903022,26.6197678922,26.8848409879,27.4918435642,27.0273419897,27.2873544084,70
2.24156659376,1.67702908059,1.90566345889,2.74833360874,2.80879609558,2.45409714054,71
22.5140053223,22.4109128236,22.629686628,22.656757153,22.1111909696,22.8631168891,72
27.347999536,27.0388923608,27.1360083178,27.6580767507,27.2882370336,27.6445105956,73
27.3230069262,26.9961607234,27.1824210886,27.7080983578,27.2909871102,27.6038485096,74
6.76347409187,6.88159313129,7.07761691622,7.13373607041,7.52830748259,7.18702171912,75
12.7659523709,12.3472288289,12.5731744243,12.9567211583,12.920851864,12.159828387,76
