id,ghsl2015
62,1220300.6392156864
75,2911749.411764706
111,54136.282352941176
112,2302715.8274509804
116,928925.0705882352
130,401483.7411764706
134,1105129.129411765
137,235124.0156862745
138,498047.0941176471
139,1725123.768627451
142,3511302.5372549016
143,8310020.278431372
144,1958455.1882352936
145,1356871.91372549
149,148067.6666666667
150,782649.305882353
151,1337503.9411764706
152,32120613.81176469
153,227780.4705882353
154,823541.2862745099
155,343241.89803921565
156,5285640.180392156
157,4371831.070588235
158,1207216.7019607844
159,7169149.184313726
160,396740036.66274494
161,321330.44313725486
163,2079592.949019608
164,1773223.91372549
165,2438513.9686274515
166,231827.38431372543
167,7519862.960784309
168,276760.2745098039
169,1933991.7215686275
170,1251055.7450980395
171,262074.25490196075
172,495482.75294117647
173,1238283.9490196074
175,460643.34117647057
176,351398313.9450981
177,2248701.1019607843
178,4221519.9843137255
179,2430411.709803922
180,1281555.3176470583
181,992697.588235294
182,1857209.9215686272
183,1259687.1254901958
185,3618718.372549019
192,753165.4745098039
196,407309.874509804
207,241454.2705882353
208,666617.3411764705
209,4455088.435294118
210,2803711.6549019604
212,1137938.035294118
230,1470838.043137255
231,514658.5999999999
235,856767.7098039216
236,6840584.270588234
237,1336040.5882352942
239,664602.8196078432
240,449237.12549019617
242,4308008.043137255
304,2436069.870588235
305,751397.7921568628
307,313263.4666666666
323,1830443.0078431368
324,1081314.3333333335
325,761076.2274509805
326,12112353.294117646
327,915520.8039215688
328,964442.6235294116
0,292888.76470588235
1,1268003.4039215683
2,416792.0
8,4900123.054901962
9,891227.4392156863
10,2342352.2156862747
11,990041.7529411764
13,788297.0
18,128874317.69411768
19,552619.5098039216
44,2213358.9529411765
63,1495611.5725490197
64,869660.0588235294
66,733356.6156862745
67,49585.0
71,66275.0
107,51488.0
108,86318.0
109,145089.0
110,432334.4627450981
113,183645.0
114,1326070.0
117,982870.4470588237
126,413366.20392156864
127,1032579.7607843135
129,1440605.3490196082
133,1594403.0
136,4606789.301960784
308,872502.3764705883
309,202170.0980392157
310,328218.7843137255
311,244708.89411764705
312,130919.23529411764
314,2013518.862745098
330,11537873.56862745
132,23408826.40000001
146,661308.8941176471
147,670769.505882353
216,701185.2156862745
220,1692499.717647059
221,944640.3960784316
222,97894.79607843138
223,1146806.71372549
224,494505.0509803922
225,163288.831372549
227,358693.5294117647
228,108968.16862745098
229,236269.8823529412
233,482870.4862745098
234,1191380.6039215685
3,11005673.160784315
4,637568.4392156862
6,1630110.368627451
7,613805.5686274511
39,1521040.8000000005
40,1477024.1686274512
42,3665706.564705882
46,2471363.560784314
47,2498422.952941177
49,1378290.5098039217
50,242500.6980392157
65,5363064.8
76,2318747.5058823526
77,2677528.905882353
