,distance_to_coast_min,id
121,467603.005525,121
122,480854.471351,122
123,482523.516249,123
124,467831.130376,124
125,381018.439078,125
126,317117.557633,126
127,281750.868798,127
128,435030.497735,128
129,335317.617126,129
130,262879.280994,130
131,459167.092315,131
132,721222.76239,132
133,307508.517909,133
134,216629.494602,134
135,440724.439778,135
136,280122.511742,136
137,141818.538903,137
138,326093.412186,138
139,134679.706397,139
140,485111.956034,140
141,476736.835842,141
142,282362.117656,142
143,268187.160313,143
144,258744.882254,144
145,136528.6607,145
146,711449.724863,146
147,720844.72852,147
148,573029.22041,148
149,332620.733365,149
150,244791.207649,150
151,276641.986425,151
152,262800.784353,152
153,366675.006728,153
154,347425.89474,154
155,296442.446284,155
156,266265.533101,156
157,301049.130263,157
158,319329.343201,158
159,295740.376819,159
160,298864.541476,160
161,334011.82703,161
162,371809.763767,162
163,238608.370446,163
164,229389.823307,164
165,242804.600658,165
166,282140.623159,166
167,271191.401881,167
168,323983.532229,168
169,341860.959621,169
170,351678.380439,170
171,344931.113815,171
172,352155.715765,172
173,271463.137745,173
174,577504.869405,174
175,380587.913673,175
176,310406.656411,176
177,328623.530311,177
178,378793.105088,178
179,319532.668104,179
180,328641.925602,180
181,408988.959764,181
182,373542.412609,182
183,338850.100125,183
184,444124.361674,184
185,271721.484637,185
186,561697.872243,186
187,468186.888378,187
188,467091.456153,188
189,505623.757346,189
190,598272.75454,190
191,658371.844325,191
192,351368.22531,192
193,609145.675873,193
194,603897.53856,194
195,440468.333863,195
196,280517.735379,196
197,668519.911489,197
198,597822.982166,198
199,576013.101029,199
200,554350.577277,200
201,503282.133712,201
202,523332.169219,202
203,585543.227127,203
204,455409.712741,204
205,538320.860561,205
206,563776.335822,206
207,347515.825571,207
208,339078.044308,208
209,445185.579239,209
210,399201.565733,210
211,489048.79355,211
212,497986.142856,212
213,513494.996673,213
214,475422.565476,214
215,537230.090029,215
216,844011.569875,216
217,844051.546666,217
218,673458.17401,218
219,768260.7992,219
220,694293.76031,220
221,743235.23371,221
222,819838.297823,222
223,712702.764462,223
224,807343.758098,224
225,852620.914817,225
226,875101.375117,226
227,900824.982446,227
228,927311.391307,228
229,976073.238685,229
230,293610.212922,230
231,282178.577149,231
232,406994.239799,232
233,678091.228132,233
234,613920.619034,234
235,426711.311739,235
236,388699.789396,236
237,299711.172519,237
238,368988.745593,238
239,293347.859106,239
240,313084.614438,240
241,642876.377808,241
242,294016.719731,242
243,604419.162937,243
244,573216.751353,244
245,623309.371043,245
246,602420.212592,246
247,678507.732259,247
248,699476.139033,248
249,669531.722118,249
250,672337.333439,250
251,409378.193979,251
252,629429.945374,252
253,674239.448925,253
254,487067.352514,254
255,545968.087366,255
256,666143.959856,256
257,640844.275419,257
258,660476.281528,258
259,690385.260185,259
260,770090.827307,260
261,609711.819093,261
262,803193.997456,262
263,842785.329119,263
264,836393.76334,264
265,908845.959902,265
266,449341.22255,266
267,559149.438244,267
268,484027.113678,268
269,526295.113852,269
270,747995.230046,270
271,769798.447178,271
272,684491.882017,272
273,499193.772849,273
274,509641.180345,274
275,783909.283721,275
276,755021.857917,276
277,750692.984118,277
278,793488.0446,278
279,755599.659004,279
280,745510.843125,280
281,633164.425286,281
282,654542.036611,282
283,573586.028032,283
284,735105.453898,284
285,1117140.80108,285
286,1161242.26691,286
287,1066003.24809,287
288,1135119.93127,288
289,694252.595839,289
290,950029.604563,290
291,1014806.94056,291
292,384575.557432,292
293,946290.513056,293
294,801579.135372,294
295,840528.739766,295
296,679173.834262,296
