,distanceDrug2017mean,id
162,92240.8885977,162
163,106373.739094,163
164,86220.7256998,164
165,89870.2772454,165
166,100849.921709,166
167,43658.8877138,167
168,78561.5532625,168
169,0.0,169
170,0.0,170
171,54569.9303586,171
172,36451.248903,172
173,51871.9026568,173
174,265585.351816,174
175,28428.2451965,175
176,5240.82373799,176
177,58225.5988306,177
178,466.621247061,178
179,57469.1801444,179
180,19980.907387,180
181,1826.84017314,181
182,40984.8878756,182
183,10037.5678876,183
184,261947.919727,184
185,111066.413938,185
186,220729.980986,186
187,217530.3129,187
188,242660.861686,188
189,223231.164191,189
190,211019.146445,190
191,332321.893932,191
192,34129.9013321,192
193,312498.279501,193
194,248013.973017,194
195,212950.778435,195
196,90756.827858,196
197,228946.920825,197
198,182177.182028,198
199,186183.480585,199
200,188538.071307,200
201,168858.872699,201
202,169203.670729,202
203,152369.103976,203
204,147729.179228,204
205,153783.16293,205
206,150595.302574,206
207,7054.61641352,207
208,6944.37901511,208
209,141.879521158,209
210,13540.7983785,210
211,35423.2332,211
212,50853.6776532,212
213,132600.474505,213
214,27072.817591,214
215,149730.570111,215
216,300499.15756,216
217,364918.690162,217
218,279661.919633,218
219,306206.297739,219
220,137587.706482,220
221,194906.64627,221
222,284754.110678,222
223,183972.221907,223
224,251867.51823,224
225,309708.939814,225
226,384002.471461,226
227,351964.56755,227
228,384759.205307,228
229,437683.471871,229
230,88253.4517783,230
231,68164.1170579,231
232,149908.433509,232
233,147826.307101,233
234,88532.750094,234
235,0.0,235
236,0.0,236
237,61827.6021899,237
238,121347.582441,238
239,78743.6849171,239
240,53534.8543885,240
241,238180.017926,241
242,45464.4043428,242
243,176313.91803,243
244,111876.526897,244
245,108022.625264,245
246,128880.40255,246
247,355825.400215,247
248,307214.944105,248
249,291881.468655,249
250,261542.577209,250
251,40046.9645834,251
252,115178.204023,252
253,193130.921391,253
254,137355.749718,254
255,113794.941588,255
256,103244.285035,256
257,56428.6256065,257
258,70495.4916376,258
259,113165.169759,259
260,83029.5643715,260
261,30396.4079814,261
262,135421.405062,262
263,132975.610134,263
264,151928.852253,264
265,243540.257599,265
266,14649.7403926,266
267,23621.7662263,267
268,1218.63682663,268
269,0.0,269
270,29263.7794722,270
271,197003.849575,271
272,168477.287584,272
273,9100.88962569,273
274,9071.46586703,274
275,70327.5978555,275
276,51808.0657165,276
277,36448.1748759,277
278,179446.040828,278
279,45911.4412951,279
280,30036.3682652,280
281,29969.0158959,281
282,27483.1621983,282
283,0.244815893172,283
284,36028.1477889,284
285,593234.495196,285
286,538648.543094,286
287,426984.781674,287
288,500888.629243,288
289,294896.637776,289
290,333588.455893,290
291,361639.548064,291
292,68176.5982824,292
293,371895.615167,293
294,248276.383926,294
295,393719.209199,295
296,195254.381465,296
297,179736.582939,297
298,2899.14622986,298
299,0.0,299
300,105986.61845,300
301,7600.21607169,301
302,28911.9024466,302
303,51299.5701855,303
304,83181.5939439,304
305,25076.1289505,305
306,312571.365882,306
307,65144.8996004,307
308,173515.501051,308
309,162053.269545,309
310,229044.170604,310
311,301265.829573,311
312,266132.285882,312
313,130961.934626,313
314,297619.089537,314
315,426977.740273,315
316,389778.870982,316
317,474090.623054,317
318,89511.6761226,318
319,110476.403778,319
320,9874.41913835,320
321,543018.965695,321
322,311699.20245,322
323,69504.2964225,323
324,74141.5092382,324
325,177161.371389,325
326,71952.9887367,326
327,90782.7251505,327
328,121889.772053,328
329,173422.764939,329
330,187473.06606,330
331,157985.087574,331
332,125280.719103,332
333,48072.2892254,333
334,69165.6524889,334
335,336926.899429,335
336,319999.72606,336
337,470539.013477,337
338,483322.800496,338
