,dist_water2017mean,dist_water2017max,dist_water2017min,id
323,8096.93823101,24238.6516603,0.0,323
324,4941.92104098,12245.31,0.0,324
325,65774.3573671,95894.6509126,27286.1897602,325
326,12648.2806584,30084.5655134,0.0,326
327,2346.23131949,6397.44923649,0.0,327
328,14158.8602839,41345.7975872,0.0,328
329,7935.45955989,25989.7404435,0.0,329
330,20430.8745968,52466.0835791,0.0,330
331,50720.8557953,68349.3282387,37500.1446741,331
332,28875.5300485,48201.0688653,10492.5935746,332
333,23071.9017728,51457.0412654,0.0,333
334,18707.0511472,47610.4165125,0.0,334
335,122548.207708,170448.130327,63458.8891381,335
336,65912.2593525,95099.2370128,31959.2540266,336
337,98545.134554,148910.566604,50628.0843117,337
338,18083.7279519,46852.0035116,0.0,338
