,distanceRoad2017max,id
129,9851.53288459,129
130,8532.26718795,130
131,8137.72211978,131
132,8840.38019449,132
133,15266.2526469,133
134,16254.1168354,134
135,10530.5652902,135
136,17811.36,136
137,12545.3378144,137
138,12746.9969675,138
139,14014.0755658,139
140,11582.5821126,140
141,3339.63,141
142,12500.2862409,142
143,8958.86070018,143
144,13511.8737616,144
145,13132.5578514,145
146,22289.8723279,146
147,25323.7610865,147
148,38888.7929639,148
149,8464.75520188,149
150,11170.2730429,150
151,7780.14704647,151
152,11170.2730429,152
153,12822.8642116,153
154,20320.2067379,154
155,3083.37269763,155
156,10231.8667091,156
157,10366.656153,157
158,10875.1866763,158
159,5476.92317614,159
160,17386.8379108,160
161,12277.839211,161
162,16447.2847987,162
163,8521.51466734,163
164,12245.31,164
165,8070.08340482,165
166,13007.3681493,166
167,24519.2167852,167
168,7234.32094036,168
169,18279.4908886,169
170,24108.8040736,170
171,4631.63275399,171
172,11578.6622969,172
173,10062.2159243,173
174,20686.0862274,174
175,7239.63875727,175
176,24276.3581427,176
177,9256.58325738,177
178,37941.7944407,178
179,10860.9284589,179
180,18509.175215,180
181,20429.047222,181
182,14494.9990372,182
183,13386.5187052,183
184,11168.5929827,184
185,27753.5869907,185
186,15707.3443454,186
187,13787.6843076,187
188,13787.6843076,188
189,22707.5551544,189
190,23725.0758385,190
191,17655.5105601,191
192,10724.1077653,192
193,13358.52,193
194,23725.0758385,194
195,12234.6345092,195
196,14471.73,196
197,17242.782275,197
198,14334.700774,198
199,12593.1201488,199
200,19904.5616735,200
201,15293.5827201,201
202,19363.8030447,202
203,12808.3122955,203
204,13762.6762092,204
205,14471.73,205
206,13508.066353,206
207,10744.8627333,207
208,15423.9529979,208
209,40341.3132063,209
210,43959.0428982,210
211,44599.0866648,211
212,21035.5331152,212
213,43118.1889277,213
214,44012.3905938,214
215,39644.2591516,215
216,25603.83,216
217,47589.5654262,217
218,54547.29,218
219,37391.8078426,219
220,12239.8902065,220
221,17241.3465457,221
222,19400.436569,222
223,13869.5926466,223
224,24252.7840228,224
225,20882.0348875,225
226,59312.6384655,226
227,25022.5756334,227
228,39399.53098,228
229,27347.4764652,229
230,8188.98257471,230
231,13358.52,231
232,14796.7704042,232
233,15582.4530437,233
234,31259.4446954,234
235,18924.57,235
236,18790.7509494,236
237,10840.8698156,237
238,15061.2249878,238
239,7005.31009155,239
240,7582.53184899,240
241,42301.98,241
242,18630.2633533,242
243,29869.5242439,243
244,23431.6400674,244
245,21772.5875076,245
246,27394.2668866,246
247,42711.8532014,247
248,36545.7325101,248
249,15584.94,249
250,19018.1698854,250
251,57850.3241413,251
252,41155.5574596,252
253,25812.8143223,253
254,17216.096584,254
255,22262.6708248,255
256,28784.6119368,256
257,11073.9458974,257
258,6754.66300316,258
259,28784.6119368,259
260,17848.4450901,260
261,57052.9463045,261
262,44528.4,262
263,20146.048226,263
264,23208.3972157,264
265,28592.8681357,265
266,51207.66,266
267,52475.3603124,267
268,29776.9853607,268
269,24507.1648261,269
270,7685.27828213,270
271,50386.442904,271
272,49857.2119737,272
273,11323.8410838,273
274,11646.2414642,274
275,14596.8299398,275
276,11662.68178,276
277,13719.2112699,277
278,38303.0127237,278
279,32404.2223264,279
280,16981.440255,280
281,15062.8364439,281
282,14354.8039933,282
283,21786.4682295,283
284,16818.191654,284
285,66792.6,285
286,37648.4195553,286
287,21722.9874361,287
288,44788.8205378,288
289,59143.9544958,289
290,45370.9803735,290
291,45097.2684246,291
292,23377.41,292
293,69402.2594767,293
294,29694.2526711,294
295,37212.3281311,295
296,39239.819546,296
297,22539.6771278,297
298,33500.622327,298
299,38043.8312192,299
300,22218.932072,300
301,10617.3209046,301
302,16889.8147928,302
303,10743.4686353,303
304,48063.4632208,304
305,12353.1862374,305
306,31792.0004053,306
307,7792.47,307
308,18558.5584464,308
309,9204.84045473,309
310,15246.5722482,310
311,20900.9899805,311
312,11132.1,312
313,12283.4385734,313
314,17646.544074,314
315,22264.2,315
316,20959.286248,316
317,19986.57522,317
318,44592.4967971,318
319,42358.8720959,319
320,38423.9349215,320
321,16623.5728263,321
322,15200.8192948,322
323,14808.0378511,323
324,7404.94072204,324
325,13823.3398711,325
326,9869.39994129,326
327,7792.47,327
328,23200.4578246,328
329,15770.6072466,329
330,18069.2548547,330
331,19723.7264773,331
332,21231.8289233,332
333,15584.94,333
334,20454.7771371,334
335,22622.9890969,335
336,17483.5573034,336
337,12404.4115778,337
338,30436.1717265,338
