,cru_ts_405_pre_yearly_mean.2012.min,cru_ts_405_pre_yearly_mean.2012.mean,cru_ts_405_pre_yearly_mean.2012.max,cru_ts_405_pre_yearly_mean.2013.min,cru_ts_405_pre_yearly_mean.2013.mean,cru_ts_405_pre_yearly_mean.2013.max,cru_ts_405_pre_yearly_mean.2014.min,cru_ts_405_pre_yearly_mean.2014.mean,cru_ts_405_pre_yearly_mean.2014.max,cru_ts_405_pre_yearly_mean.2015.min,cru_ts_405_pre_yearly_mean.2015.mean,cru_ts_405_pre_yearly_mean.2015.max,cru_ts_405_pre_yearly_mean.2016.min,cru_ts_405_pre_yearly_mean.2016.mean,cru_ts_405_pre_yearly_mean.2016.max,cru_ts_405_pre_yearly_mean.2017.min,cru_ts_405_pre_yearly_mean.2017.mean,cru_ts_405_pre_yearly_mean.2017.max,cru_ts_405_pre_yearly_mean.2018.min,cru_ts_405_pre_yearly_mean.2018.mean,cru_ts_405_pre_yearly_mean.2018.max,cru_ts_405_pre_yearly_mean.2019.min,cru_ts_405_pre_yearly_mean.2019.mean,cru_ts_405_pre_yearly_mean.2019.max,cru_ts_405_pre_yearly_mean.2020.min,cru_ts_405_pre_yearly_mean.2020.mean,cru_ts_405_pre_yearly_mean.2020.max,id
22,72.425000747,76.0158562984,85.291667978,82.8333354791,86.5929615243,95.5166674455,92.2666687965,96.8521030881,106.40833497,84.3750021954,88.6983316429,96.4750004808,96.1416669687,101.372948003,110.233334447,96.2916681617,106.056635925,112.908333937,77.6916685582,82.7682877738,93.3083337049,52.9416669309,56.2083685885,64.0416683356,70.3333353996,72.2196894042,75.8833345175,22
23,61.9083349289,61.9083349289,61.9083349289,66.1833340128,66.1833340128,66.1833340128,56.0333344837,56.0333344837,56.0333344837,56.8750006209,56.8750006209,56.8750006209,40.5500001113,40.5500001113,40.5500001113,55.6083343228,55.6083343228,55.6083343228,74.4083335002,74.4083335002,74.4083335002,49.1416676839,49.1416676839,49.1416676839,50.9250007272,50.9250007272,50.9250007272,23
24,43.2750009255,59.0851024786,61.9083349289,41.6083343228,62.4598491777,66.1833340128,33.8083335459,52.6659100688,56.0333344837,35.9999999454,53.7121217021,56.8750006209,27.7666673809,38.6131314983,40.5500001113,36.941667527,52.7800514494,55.6083343228,48.4333344897,70.472727554,74.4083335002,31.7416673501,46.5053039732,49.1416676839,35.9750002387,48.6598491176,50.9250007272,24
25,37.5500001994,38.2853538641,39.4166672528,33.4416666826,33.6840914212,33.8416674932,23.9666670213,26.2444449158,27.7250004709,26.7083343746,27.1186877398,27.750000642,27.8583337069,28.8103536649,30.2749998296,31.5583340426,31.6108593354,31.6916674823,38.8333339095,39.0500007306,39.3833343188,28.2250004212,28.6090912526,29.2000002544,30.4000005424,31.0500006223,32.0500007967,25
26,52.7000013242,55.3921253806,58.091667071,51.4583340635,55.182370446,58.9166676998,52.8666671018,54.6350646164,56.4083346128,45.2083337357,48.6161390084,52.033333838,35.3916675113,36.6441084816,37.9000003139,45.8083338439,48.2091929135,50.6166670918,58.4416681131,61.7454497025,65.0583342314,39.9666670064,41.9472720591,43.933334291,41.2333344345,43.130720214,45.0333338777,26
27,39.1083346096,48.4408802664,53.8750019471,37.2583339115,46.4720631799,52.100001057,30.9583343665,40.831206492,46.916667968,29.5583342873,39.4058116693,45.4250007172,28.7166675255,36.0652957313,40.4416667422,34.5166670283,43.1337200119,48.4000010093,43.108333528,54.2917067668,61.1500009298,30.6250006439,38.4969030721,43.3250010808,32.6833334596,39.9622668197,44.475000682,27
28,39.1083346096,57.1028452035,70.6166679462,37.2583339115,56.2576332036,72.2750005722,30.9583343665,49.8954971812,63.1416673263,29.5583342873,48.6508377895,62.5250018835,28.7166675255,41.9607841737,49.9083343248,34.5166670283,51.6511208327,64.933333834,43.108333528,65.8903676814,84.5250011285,30.6250006439,46.3674504557,58.7000007158,32.6833334596,47.5907327179,59.8166673283,28
29,38.0083333434,53.8007972828,69.2416672471,35.0250008305,53.3282900367,71.9833340446,27.7166671256,42.8905614713,56.9750010769,30.2666665167,44.967611097,60.5666678051,25.8000005068,35.9637948261,46.5000015249,31.883334135,46.6996069249,60.9499995311,41.016667366,62.13593131,83.2166673342,28.191667517,41.3646123484,54.4833344302,31.458333681,45.2796927863,59.1250013312,29
30,46.2333347959,46.2333347959,46.2333347959,43.5833338896,43.5833338896,43.5833338896,35.9083344986,35.9083344986,35.9083344986,36.3250011529,36.3250011529,36.3250011529,31.1333332658,31.1333332658,31.1333332658,39.783333838,39.783333838,39.783333838,51.4166675806,51.4166675806,51.4166675806,35.1916667304,35.1916667304,35.1916667304,38.3666671279,38.3666671279,38.3666671279,30
31,72.0250012676,89.5409209278,104.516667326,71.5833346844,93.6739149438,111.533336163,76.4583349228,93.9025546166,109.166668892,66.5250002543,84.733693458,98.3250007629,57.5333340565,68.5947736854,78.7750016848,65.4416683515,80.82273989,92.9750005404,71.7500005563,94.9419313234,112.008335114,61.7333345016,76.5020230157,85.0000022352,56.0333349705,71.8169589283,86.0833349228,31
