cru_ts_405_pre_yearly_mean.2012.max,cru_ts_405_pre_yearly_mean.2013.max,cru_ts_405_pre_yearly_mean.2014.max,cru_ts_405_pre_yearly_mean.2015.max,cru_ts_405_pre_yearly_mean.2016.max,cru_ts_405_pre_yearly_mean.2017.max,cru_ts_405_pre_yearly_mean.2018.max,cru_ts_405_pre_yearly_mean.2019.max,cru_ts_405_pre_yearly_mean.2020.max,id
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,79
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,80
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,81
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,82
69.2416672471,71.9833340446,63.2416671515,61.4166685939,46.5000015249,60.9499995311,83.2166673342,54.4833344302,59.1250013312,83
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,84
61.9083349289,66.1833340128,56.4083346128,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,85
140.366671085,154.300004005,146.058333715,134.983334541,98.7750014464,133.975001812,165.958333651,116.150002738,120.416667302,86
137.150002797,147.058336099,144.616668065,127.841667493,102.716667215,123.700000763,158.591667811,107.733336359,118.458335241,87
142.183334827,147.466668288,151.358335813,128.441667875,105.766667525,126.016669114,160.083337784,108.31666865,121.408334732,88
125.541671212,153.616671056,156.816667875,111.266667684,114.358335361,130.066668924,153.375002608,121.975002428,117.76666975,89
137.150002797,147.058336099,144.616668065,127.841667493,102.716667215,123.700000763,158.591667811,107.733336359,118.458335241,90
18.8416671356,15.0500002801,16.458333691,20.8666668435,17.4833337963,17.5166668575,24.3500002225,15.5083337228,17.8583338584,91
65.9250003379,51.9416677554,59.7166683873,66.4250016113,49.9583332936,55.5083336681,74.8583347127,59.391667525,52.5250005325,92
16.3750003576,13.8583337863,14.8666666746,18.3916671276,13.5916668574,14.8666670322,21.508333842,13.6666666269,15.3666666746,93
90.1666676681,62.7000016371,82.4500009418,91.8833347162,71.3250013987,77.0833330005,99.250002106,84.8750025431,70.633334736,94
43.0583332727,36.4249998778,40.0583345021,43.4333340526,35.0083345572,36.125000475,52.391667217,36.125000457,37.1833339855,95
90.1666676681,65.2166675329,82.4500009418,91.8833347162,71.3250013987,77.0833330005,99.250002106,84.8750025431,70.633334736,96
60.3666677556,52.0666682323,57.783333843,64.8333339095,46.8083349864,53.3166669856,71.9166693886,56.8750012716,49.5416671634,97
43.0583332727,36.4249998778,40.0583345021,43.4333340526,35.0083345572,36.125000475,52.391667217,36.125000457,37.1833339855,98
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,44.0750005127,45.0333338777,99
12.3916668097,10.6083336373,7.57499992351,10.4083336393,7.71666689714,9.29166701684,12.3666668932,7.98333360255,9.2916666468,100
65.9250003379,52.0666682323,59.7166683873,66.4250016113,49.9583332936,55.5083336681,74.8583347127,59.391667525,52.5250005325,101
15.0250002891,13.1500000084,7.66666685541,9.87500025456,8.37500008444,10.250000298,13.050000295,9.18333330999,10.4500002712,102
16.5250003617,14.7083332539,14.8666666746,18.7166668971,15.908333679,15.2916671087,21.508333842,13.6666666269,15.5000000248,103
29.800000752,27.7416670024,28.0250002394,30.9166672826,24.3333333284,25.3583336106,37.9833340396,25.1666672577,26.3916669084,104
31.1333336066,28.766666611,28.1000003219,31.9916668832,23.4916672707,26.6750007036,39.1000010868,26.1500002823,26.6500001612,105
69.2416672471,71.9833340446,63.2416671515,61.4166685939,46.5000015249,60.9499995311,83.2166673342,54.4833344302,59.1250013312,106
14.5500002565,12.2250001331,4.80833337704,9.53333338102,10.3333336065,9.36666673422,12.5250002543,9.15000011524,11.6666666071,107
18.4333338489,15.8083337676,9.24166691303,11.9750001275,12.1000004858,12.2250002573,15.7750000519,11.608333533,14.1083337665,108
18.4333338489,15.8083337676,9.24166691303,11.9750001275,12.1000004858,12.2250002573,15.7750000519,11.608333533,14.1083337665,109
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,110
51.9916680033,45.2833339572,35.8000006477,36.7416678518,40.2416674594,44.4833337863,53.3333343069,40.5833335718,40.7333343724,111
51.9916680033,45.2833339572,37.4500010113,36.7416678518,40.2416674594,44.4833337863,53.3333343069,40.5833335718,40.7333343724,112
23.52500091,19.5583334913,12.9250002286,15.0916665724,13.9250002901,15.966667374,20.7250003268,14.6750001609,17.1500004691,113
27.6833345816,23.5083337426,17.4916668994,18.1333336942,17.4499999235,20.0333337585,25.5166670283,18.2333337267,21.4666674609,114
33.8500004491,32.5000009735,30.0583333472,34.2000007828,23.4916672707,28.4750004659,42.0083346963,27.9250003695,28.225000153,115
53.8750019471,52.100001057,46.916667968,45.4250007172,40.4416667422,48.4000010093,61.1500009298,43.3250010808,44.475000682,116
34.9500004196,32.2583336135,26.5583341991,27.6916670483,21.0916672063,28.4666671219,37.100001206,24.4000006715,27.4083335698,117
61.9083349289,66.1833340128,56.4083346128,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,118
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,119
61.9083349289,66.1833340128,56.4083346128,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,120
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,121
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,122
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,123
58.091667071,58.9166676998,56.4083346128,52.033333838,37.9000003139,50.6166670918,65.0583342314,43.933334291,45.0333338777,124
61.9083349289,66.1833340128,56.0333344837,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,125
