drugCult_count2017,drugCult_none2017,drugCult_cannabis2017,drugCult_coca_bush2017,drugCult_opium2017,drugCult_mix2017,id
509,509,0,0,0,0,303
30951,30950,0,1,0,0,304
637,637,0,0,0,0,305
6601,6601,0,0,0,0,306
95,95,0,0,0,0,307
2444,2444,0,0,0,0,308
765,765,0,0,0,0,309
1144,1144,0,0,0,0,310
179,179,0,0,0,0,311
304,304,0,0,0,0,312
543,543,0,0,0,0,313
4830,4830,0,0,0,0,314
5384,5384,0,0,0,0,315
2031,2031,0,0,0,0,316
3779,3779,0,0,0,0,317
4307,4307,0,0,0,0,318
6690,6690,0,0,0,0,319
2829,1524,0,1305,0,0,320
344,344,0,0,0,0,321
603,603,0,0,0,0,322
299,299,0,0,0,0,323
102,102,0,0,0,0,324
2495,2495,0,0,0,0,325
629,629,0,0,0,0,326
92,92,0,0,0,0,327
1305,1305,0,0,0,0,328
764,764,0,0,0,0,329
2222,2222,0,0,0,0,330
598,598,0,0,0,0,331
1160,1160,0,0,0,0,332
1601,1601,0,0,0,0,333
2036,2036,0,0,0,0,334
5610,5610,0,0,0,0,335
1806,1806,0,0,0,0,336
2185,2185,0,0,0,0,337
3883,3883,0,0,0,0,338
