,distance_to_coast_mean,id
127,307901.229216,127
128,443968.180796,128
129,363165.088944,129
130,273344.506123,130
131,467348.699658,131
132,736035.552306,132
133,317031.465247,133
134,238601.84846,134
135,453097.704398,135
136,330688.158942,136
137,155589.384215,137
138,336672.92693,138
139,191457.571281,139
140,494360.031475,140
141,484493.677724,141
142,309329.48167,142
143,288675.943706,143
144,271206.864388,144
145,175494.835558,145
146,750876.382435,146
147,808826.066961,147
148,681416.785708,148
149,345004.640272,149
150,257569.077986,150
151,290280.325056,151
152,284239.098626,152
153,376475.167872,153
154,361962.105091,154
155,299706.102802,155
156,283467.114895,156
157,313082.818398,157
158,329728.135075,158
159,304527.467093,159
160,312343.941406,160
161,348969.005292,161
162,399541.468602,162
163,244381.181457,163
164,248941.522469,164
165,255583.557653,165
166,284456.825346,166
167,304841.266705,167
168,330417.218355,168
169,369254.23982,169
170,382411.654873,170
171,352208.927711,171
172,361710.734775,172
173,286829.591338,173
174,595440.278035,174
175,395305.080607,175
176,353579.746828,176
177,355064.099571,177
178,424144.514004,178
179,337715.0327,179
180,383477.373786,180
181,435820.603536,181
182,400373.085502,182
183,379543.496696,183
184,468261.794728,184
185,281925.135117,185
186,583387.943241,186
187,481801.104584,187
188,495263.835475,188
189,535514.967523,189
190,613831.120347,190
191,675892.012503,191
192,381577.374192,192
193,634778.378201,193
194,633328.12368,194
195,464547.04301,195
196,285364.744366,196
197,679323.555983,197
198,606215.389419,198
199,589041.043483,199
200,567011.483011,200
201,516459.35207,201
202,536420.96726,202
203,597537.55408,203
204,470794.227544,204
205,555072.241148,205
206,577994.437326,206
207,372819.28552,207
208,378171.124,208
209,469194.983359,209
210,456193.252967,210
211,523564.049019,211
212,524633.494414,212
213,647302.763304,213
214,533714.136053,214
215,644388.603356,215
216,879761.791734,216
217,877501.260141,217
218,788049.764424,218
219,865477.993947,219
220,725623.292654,220
221,804483.03461,221
222,874713.882011,222
223,788218.754507,223
224,859226.543151,224
225,911958.179755,225
226,933168.576985,226
227,939776.233727,227
228,982231.374077,228
