,distanceDia2017min,id
209,38237.1572625,209
210,0.0,210
211,0.0,211
212,0.0,212
213,90063.6235738,213
214,46622.4325734,214
215,0.0,215
216,246950.416795,216
217,263472.764416,217
218,89739.8363359,218
219,173785.127876,219
220,279718.761987,220
221,257229.193799,221
222,244101.040714,222
223,196455.45263,223
224,267841.090117,224
225,283738.507324,225
226,262866.066847,226
227,312589.123259,227
228,346155.052708,228
229,375735.095239,229
230,205587.647308,230
231,212908.423565,231
232,454097.687294,232
233,289897.733338,233
234,167864.700951,234
235,81236.241327,235
236,106768.72336,236
237,194110.838921,237
238,380622.205477,238
239,208580.713771,239
240,185656.670383,240
241,628598.83864,241
242,175368.83152,242
243,608265.548736,243
244,527609.489818,244
245,565827.589923,245
246,558293.48617,246
247,534008.680992,247
248,602656.791713,248
249,666971.255092,249
250,677132.061185,250
251,151724.984342,251
252,543991.323414,252
253,642034.868979,253
254,510838.883579,254
255,517581.731132,255
256,575269.091349,256
257,535718.265758,257
258,559441.459656,258
259,594519.000669,259
260,559146.634675,260
261,329099.367273,261
262,461560.08046,262
263,421682.359531,263
264,364659.411257,264
265,359551.563054,265
266,214168.240389,266
267,331901.347756,267
268,353600.537481,268
269,349801.85873,269
270,536593.591545,270
271,325634.689358,271
272,296551.103147,272
273,380105.332731,273
274,390715.349484,274
275,507035.082275,275
276,506560.142274,276
277,504162.755053,277
278,468072.06321,278
279,482355.830036,279
280,501238.136716,280
281,500901.462225,281
282,507719.820959,282
283,364785.601099,283
284,550119.282792,284
285,111254.567183,285
286,154383.879977,286
287,253236.382085,287
288,110984.499499,288
289,237778.870479,289
290,297258.378259,290
291,298315.610707,291
292,257538.69052,292
293,56818.2124562,293
294,230741.592247,294
295,96166.2650234,295
296,263005.36752,296
297,399041.825791,297
298,393668.525632,298
299,403624.271391,299
300,462107.029219,300
301,319087.948481,301
302,393886.252654,302
303,407794.086724,303
304,0.0,304
305,113525.498657,305
306,530738.424865,306
307,280132.799375,307
308,341494.774392,308
309,372052.785328,309
310,435048.844622,310
311,522236.545924,311
312,489487.757731,312
313,420586.70712,313
314,494736.295837,314
315,742130.66606,315
316,701461.45257,316
317,667617.176959,317
318,437548.272845,318
319,329590.312463,319
320,456364.009828,320
321,680369.010718,321
322,709616.422085,322
323,187327.47072,323
324,198084.042078,324
325,342914.127372,325
326,178991.529518,326
327,234165.577256,327
328,274006.445971,328
329,531228.255311,329
330,441510.465209,330
331,439532.691788,331
332,480334.370647,332
333,414179.052256,333
334,487765.720844,334
335,622099.49925,335
336,682051.804102,336
337,785404.166455,337
338,670015.359074,338
