,distanceRoad2017mean,id
182,4547.15238722,182
183,3618.55694377,183
184,3265.42346558,184
185,8258.23678305,185
186,4268.91618549,186
187,5690.61557989,187
188,4929.89027804,188
189,7745.53824271,189
190,11078.9018403,190
191,6102.54022369,191
192,2381.5438423,192
193,4097.14678784,193
194,7035.38410127,194
195,3710.30938514,195
196,8582.12873864,196
197,4815.08670723,197
198,7323.80784594,198
199,5433.07014742,199
200,5702.18783145,200
201,5121.05936465,201
202,6557.60852378,202
203,4426.86717604,203
204,3766.37943844,204
205,4357.38069456,205
206,5095.91617933,206
207,3751.62311559,207
208,4676.68782524,208
209,15351.1260986,209
210,8102.86773738,210
211,22773.0881003,211
212,4711.39750957,212
213,11546.5656275,213
214,11829.2875191,214
215,10948.2323196,215
216,13155.2545452,216
217,21486.0564481,217
218,16882.1097401,218
219,8521.40057192,219
220,3615.68876385,220
221,3634.59633365,221
222,5002.12139563,222
223,3296.31664038,223
224,7888.30643736,224
225,5251.38635583,225
226,16929.463031,226
227,7742.50464821,227
228,16705.2066631,228
229,8954.01541165,229
230,2018.2778164,230
231,9175.01584409,231
232,5397.75322593,232
233,4400.44040593,233
234,5537.18218294,234
235,4316.23794636,235
236,4972.6461252,236
237,2411.90239215,237
238,4057.27523506,238
239,2600.80327969,239
240,2968.09968407,240
241,12611.5640287,241
242,8416.55102594,242
243,8472.10315633,243
244,9189.78789304,244
245,7280.89057858,245
246,9926.55391059,246
247,11989.983075,247
248,9554.57036156,248
249,4209.30457294,249
250,8742.76012971,250
251,29394.1516163,251
252,12673.8939417,252
253,8281.26875103,253
254,3925.12188698,254
255,9385.58694416,255
256,12750.8565264,256
257,4235.59524089,257
258,2309.70969694,258
259,7935.94181027,259
260,4545.56829716,260
261,25479.4866204,261
262,21336.2217266,262
263,6958.05136297,263
264,8780.71991339,264
265,8276.78219977,265
266,13466.9445164,266
267,26586.7824525,267
268,8871.75493362,268
269,7197.47481655,269
270,2355.49422457,270
271,16874.5839163,271
272,12475.1566521,272
273,3944.27930135,273
274,3634.51656615,274
275,3319.59175362,275
276,2812.90926957,276
277,3436.32024688,277
278,12346.5240663,278
279,13428.2208078,279
280,7802.89823979,280
281,4097.37685021,281
282,4259.22511914,282
283,6317.43727812,283
284,8584.15228751,284
285,24404.1421387,285
286,9481.40650897,286
287,5979.1897192,287
288,9920.16216145,288
289,13285.2569366,289
290,11466.3104436,290
291,13654.2812316,291
292,7809.15487033,292
293,13967.3408426,293
294,8888.34531291,294
295,9858.10938691,295
296,4584.94263356,296
297,7433.37454666,297
298,15141.8531416,298
299,15537.9992269,299
300,9250.140283,300
301,3285.32433024,301
302,10804.3043693,302
303,4048.15106061,303
304,15264.4488308,304
305,5231.09732883,305
306,8016.75839444,306
307,2519.86508923,307
308,5350.419941,308
309,2481.91448919,309
310,4876.71339844,310
311,12277.101673,311
312,3692.84528821,312
313,3977.17851466,313
314,4219.14750455,314
315,5469.44129098,315
316,5721.24922978,316
317,6245.36661474,317
318,16871.8848525,318
319,14008.7833707,319
320,13826.099134,320
321,4721.93490445,321
322,3874.11573956,322
323,2969.08943714,323
324,2872.52302491,324
325,4133.53280472,325
326,2300.92485707,326
327,1024.94644384,327
328,8108.56510132,328
329,4703.58475258,329
330,5420.24528852,330
331,7571.09313258,331
332,8339.80581116,332
333,4281.19313876,333
334,6891.4613737,334
335,6480.29416368,335
336,6274.74160358,336
337,4072.70320099,337
338,8321.22811429,338
