distanceDia2017min,distanceDia2017mean,distanceDia2017max,id
723326.261949,744862.981018,773917.341851,92
797347.059231,811961.814136,827787.321065,93
547008.168693,600937.216115,641955.973275,94
771303.783463,813931.364315,854962.354584,95
638451.931054,662185.673083,699577.150657,96
729933.002733,777115.333273,824371.984842,97
749323.01139,788507.79965,826430.05295,98
415490.097388,447989.103879,487189.076768,99
720543.900984,766580.027749,807752.767822,100
707174.994948,738435.507024,827813.674152,101
561349.38501,632782.764625,681896.317331,102
751071.982249,843965.253977,923964.3,103
759768.187209,781234.273335,804588.672085,104
733956.549192,749756.777614,764673.135906,105
285435.55658,308256.349583,328861.437829,106
483810.163108,491702.618108,498983.344664,107
474538.781109,482091.836802,490995.277377,108
451303.253467,465120.239644,477628.75548,109
430358.45188,444139.311478,459561.565809,110
284749.407706,287505.730142,289679.523822,111
269210.296642,306365.202459,345528.437803,112
452664.861169,477158.175722,500598.774682,113
384882.336703,430024.08307,469875.689527,114
644629.32623,678028.692855,706433.168544,115
260462.189685,276940.392312,288441.159,116
386361.315922,399748.470086,410822.775951,117
388895.338269,402407.460808,415165.764018,118
390618.665928,401048.108398,412753.544373,119
380850.9934,401312.565116,423604.892155,120
376792.898575,381700.533562,389089.46659,121
387302.866372,393451.157163,400721.162515,122
384402.140749,387498.726283,390470.793245,123
369394.746683,374443.893223,379733.904426,124
353764.874584,372354.484688,387384.471457,125
376377.91564,409101.223953,442927.543043,126
352683.519752,408641.480584,462618.768887,127
345952.558636,360550.875729,373537.449671,128
339865.368956,368126.539039,396037.652837,129
255109.647772,267120.943299,276754.446627,130
361533.494519,365748.879693,370399.422658,131
300987.353117,315873.508489,330514.098227,132
322642.243478,337212.274971,349623.602549,133
297850.899279,321781.696614,346239.173213,134
332965.823658,347761.23908,358837.369221,135
304378.335551,344985.019404,379002.691159,136
341560.276754,358095.651383,372410.644107,137
272681.555141,293666.23449,318734.752214,138
311373.940029,353307.369579,415468.112109,139
376959.702863,386486.97293,397121.800102,140
372461.01941,376680.805586,381945.355241,141
276927.009261,308240.001483,332849.79,142
276519.643771,292748.47903,305140.748239,143
256689.980491,275265.436449,289527.48113,144
316832.643051,339946.691508,379535.765172,145
121044.169986,185402.830372,244101.040714,146
119615.395629,219937.262984,284143.599376,147
37905.8206761,101811.102037,203807.566754,148
253707.310134,268129.871546,282305.32071,149
260063.562098,277170.335526,293488.393292,150
244987.572469,260602.587257,276998.088934,151
228026.191041,249587.036682,270749.628931,152
240565.181828,248658.824658,255839.791762,153
219723.20336,250879.625257,277384.906148,154
211274.218589,213739.222739,216754.126341,155
220457.499602,240129.183682,260615.91719,156
222121.984354,239048.218042,254742.976194,157
209294.627206,231029.86344,251958.240304,158
224190.636775,236217.702661,247548.897123,159
194770.370115,217961.17496,234986.69943,160
189974.083046,204002.754249,215895.987436,161
318299.424294,344498.170219,364561.16442,162
263982.188162,269260.599119,275266.416677,163
252763.681007,270516.860189,288131.434779,164
249901.303494,259541.315048,271430.003082,165
227619.065789,229561.928747,231908.230114,166
181793.603786,215358.177749,244890.109486,167
