cru_ts_405_pre_yearly_mean.2012.min,cru_ts_405_pre_yearly_mean.2013.min,cru_ts_405_pre_yearly_mean.2014.min,cru_ts_405_pre_yearly_mean.2015.min,cru_ts_405_pre_yearly_mean.2016.min,cru_ts_405_pre_yearly_mean.2017.min,cru_ts_405_pre_yearly_mean.2018.min,cru_ts_405_pre_yearly_mean.2019.min,cru_ts_405_pre_yearly_mean.2020.min,id
37.5500001994,33.4416666826,23.9666670213,26.7083343746,27.8583337069,31.5583340426,38.8333339095,28.2250004212,30.4000005424,25
52.7000013242,51.4583340635,52.8666671018,45.2083337357,35.3916675113,45.8083338439,58.4416681131,39.9666670064,41.2333344345,26
39.1083346096,37.2583339115,30.9583343665,29.5583342873,28.7166675255,34.5166670283,43.108333528,30.6250006439,32.6833334596,27
39.1083346096,37.2583339115,30.9583343665,29.5583342873,28.7166675255,34.5166670283,43.108333528,30.6250006439,32.6833334596,28
38.0083333434,35.0250008305,27.7166671256,30.2666665167,25.8000005068,31.883334135,41.016667366,28.191667517,31.458333681,29
46.2333347959,43.5833338896,35.9083344986,36.3250011529,31.1333332658,39.783333838,51.4166675806,35.1916667304,38.3666671279,30
72.0250012676,71.5833346844,76.4583349228,66.5250002543,57.5333340565,65.4416683515,71.7500005563,61.7333345016,56.0333349705,31
56.0833350321,55.2416678071,56.3333345254,49.6583338579,39.2083337108,48.7166671356,61.4750013351,44.8583338658,43.2333342433,32
66.4333346486,67.8833334843,68.3333346049,60.9166674614,48.5250016252,58.3750009537,72.708334287,54.7166683997,52.9500019948,33
66.4333346486,67.8833334843,68.3333346049,60.9166674614,47.4583341281,58.3750009537,72.708334287,53.4916677028,52.9500019948,34
33.8500004491,32.5000009735,30.0583333472,34.2000007828,23.0416671634,28.4750004659,42.0083346963,27.9250003695,28.225000153,35
29.5583338439,27.7416670024,27.8083337943,30.9166672826,23.4500001768,25.2666669618,37.9833340396,25.1666672577,26.1750007235,36
42.5250010205,37.9500006239,40.3666668683,43.0083341797,30.6000008881,36.5916672995,51.8416679949,36.6333337625,35.7416665753,37
137.150002797,147.058336099,144.616668065,127.841667493,102.716667215,123.700000763,158.591667811,107.733336359,118.458335241,38
31.7500006637,27.6750008812,22.5750007108,23.9000005573,16.1916668819,24.0166669432,32.3750005327,20.3916671599,22.1083334461,39
39.1916679405,36.1750009755,32.008333986,31.9916673663,21.9250006489,32.1333338991,41.2250014643,27.1083336274,29.1083337596,40
60.1583334704,54.7583336234,51.5250011285,51.0333343148,49.9000012676,61.53333504,67.3166676362,54.8083347244,47.0833339375,41
6.90833353996,5.34166661898,2.61666674415,5.15833343069,3.43333335718,4.38333340486,5.18333347638,4.11666675409,4.54166690509,42
60.1583334704,54.7583336234,51.5250011285,51.0333343148,49.9000012676,61.53333504,67.3166676362,54.8083347244,47.0833339375,43
10.4500002873,8.65833349278,2.99166668455,6.84999997914,7.47500012815,6.43333352606,8.24166674415,6.42500011126,8.11666693787,44
155.008337021,171.383336544,179.525003274,141.958335559,122.050002654,147.416667223,188.016668002,128.925000528,139.433336576,45
15.5416668157,13.8750002993,10.3250003209,12.5000002546,8.96666677793,11.9000001003,16.4750007639,10.5583334888,11.6416668097,46
25.5833335121,23.7333336994,17.6583339771,19.3083335956,13.3833333453,19.1333337904,27.2249997308,16.7333336075,17.9000000805,47
35.8416671082,26.1000003517,37.31666707,35.8916670084,29.4833338658,33.4500008325,39.8583344718,33.5833337667,29.3166672687,48
25.5833335121,23.7333336994,17.6583339771,19.3083335956,13.3833333453,19.1333337904,27.2249997308,16.7333336075,17.9000000805,49
25.5833335121,23.7333336994,17.6583339771,19.3083335956,13.3833333453,19.1333337904,27.2249997308,16.7333336075,17.9000000805,50
60.1583334704,54.7583336234,51.5250011285,51.0333343148,49.9000012676,61.53333504,67.3166676362,54.8083347244,47.0833339375,51
