travelTimeCity2016mean,travelTimeCity2016max,travelTimeCity2016min,id
675.4912747,3293,139,180
485.8036665,1109,198,181
504.4823959,1322,141,182
519.773504,1530,155,183
288.5829069,1227,21,184
306.3499069,632,132,185
393.3393696,977,134,186
459.4850598,1453,31,187
313.5494486,1412,37,188
488.7722864,1467,77,189
837.4760766,1795,158,190
502.3148709,1186,118,191
364.1390057,1422,116,192
407.4302259,1076,133,193
692.1980716,1795,175,194
232.3843719,1124,0,195
219.082423,393,90,196
500.9986304,1127,215,197
495.4827737,873,123,198
430.4057737,915,128,199
348.8015162,906,87,200
114.3988319,387,6,201
226.4425114,688,13,202
295.4512314,820,89,203
355.7438811,931,49,204
283.5777448,839,37,205
320.714223,824,67,206
696.0150096,1993,202,207
856.2155721,2698,156,208
1246.851004,2572,277,209
728.2361328,2444,186,210
864.9779143,2196,315,211
556.8592237,1386,312,212
603.7085766,2100,80,213
896.2430288,3064,184,214
716.4354631,2084,158,215
346.7645767,1000,0,216
714.6500551,1427,228,217
750.6524065,1929,144,218
474.618318,2007,1,219
473.6841645,1011,213,220
400.0678424,1220,66,221
245.127364,679,0,222
352.9993114,1076,109,223
620.3747799,1682,122,224
484.7858952,1539,140,225
735.0622237,1862,48,226
483.6224297,1630,18,227
1103.539773,2657,111,228
738.9486556,1850,98,229
180.2211564,494,82,230
221.7979879,573,65,231
631.7376032,1534,110,232
539.419434,1165,223,233
581.4775766,1527,226,234
441.0101638,1053,252,235
684.615776,1888,79,236
228.9533416,933,49,237
318.9538843,1086,38,238
268.9384697,776,68,239
437.1974854,875,156,240
776.9068497,2215,144,241
1145.931869,3293,31,242
620.5812871,1856,123,243
461.7089843,1147,103,244
435.3365175,1022,173,245
537.9793664,1175,146,246
736.7655011,2290,110,247
569.9210804,1803,178,248
420.094365,1097,212,249
592.918139,1238,238,250
2363.903725,4405,51,251
628.1326523,1680,142,252
611.4084913,1650,144,253
193.6922935,971,0,254
481.9288158,1147,65,255
1001.954588,2131,123,256
343.2307694,710,158,257
246.8755026,544,117,258
437.1455465,2215,30,259
106.1954808,346,15,260
1029.943696,2857,69,261
772.5900893,1417,54,262
555.7049875,1417,142,263
535.8148171,1355,133,264
693.3028555,1952,207,265
795.6916466,3408,30,266
549.4465489,1219,118,267
885.3771068,2556,23,268
481.9330175,1689,74,269
27.54129801,178,0,270
791.1568964,2319,170,271
618.8456122,2386,20,272
297.6459982,877,71,273
302.4570091,890,82,274
140.1260727,397,31,275
108.8011178,436,6,276
102.2857047,489,5,277
684.199308,2393,46,278
330.0505104,702,31,279
184.0428687,504,20,280
368.5928523,1245,127,281
435.7408026,1300,101,282
461.1305693,1203,129,283
100.7017747,466,21,284
1259.830163,2752,99,285
773.8734807,2350,173,286
629.4403716,1692,246,287
684.7447241,2204,66,288
912.6096381,2786,89,289
906.8047406,3212,217,290
1086.195288,3062,268,291
515.6727391,1821,32,292
1021.90585,3124,137,293
746.2474483,2129,209,294
809.7043547,2181,163,295
221.1568814,2210,0,296
473.8324671,1104,246,297
1421.303221,3332,130,298
1103.864804,2745,146,299
421.387233,1046,36,300
277.8351015,869,27,301
430.0445982,900,81,302
223.1996011,562,76,303
1056.637257,2860,203,304
606.5545267,1601,128,305
531.3704864,1891,117,306
263.5836979,827,62,307
585.959572,2638,144,308
243.1935489,1071,90,309
344.3885663,901,124,310
544.3063233,1201,254,311
285.5288646,635,161,312
285.5159265,752,104,313
368.1256343,1045,134,314
472.4637485,1990,94,315
495.2868116,1494,171,316
629.2436083,1839,142,317
555.9984874,1590,52,318
763.5339665,1819,120,319
623.01894,1859,151,320
415.536789,1036,27,321
376.8420071,1203,157,322
336.7401405,819,147,323
306.0526926,776,139,324
436.542842,1592,171,325
255.8783941,1301,62,326
126.2848458,377,70,327
512.3968626,1574,101,328
242.4654666,745,36,329
485.7611047,1772,70,330
726.3509346,1990,86,331
465.6350156,1101,19,332
251.4609839,640,102,333
413.3786276,1045,145,334
514.1945756,1624,60,335
504.988877,1407,107,336
320.2007369,856,97,337
588.4925909,1474,129,338
