,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2019.max,id
99,3.53e-06,5.66e-05,2.03e-06,4.19e-08,2.08e-09,1.62e-09,0.0,5.96e-09,99
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
101,6.32e-05,0.0,5.77e-05,3.42e-06,1.92e-07,1.47e-07,0.0,5.18e-07,101
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103
104,4.62e-06,0.0,2.65e-06,4.96e-08,1.69e-09,1.39e-09,0.0,6.81e-09,104
105,5.98e-06,0.0,2.74e-06,6.11e-08,1.67e-09,9.94e-10,0.0,7.11e-09,105
106,4.68e-06,6.23e-05,2.81e-06,5.65e-08,3.86e-09,3.38e-09,0.0,1.13e-08,106
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
116,7.1e-06,8.99e-05,0.0,0.0,0.0,0.0,0.0,0.0,116
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117
118,1.59e-06,2.62e-05,5.5e-07,5.06e-09,2.08e-10,1.51e-10,0.0,6.3e-10,118
119,3.47e-07,1.19e-05,3.24e-07,6.17e-09,3.17e-10,2.27e-10,0.0,7.72e-10,119
120,3.53e-06,5.66e-05,2.03e-06,4.19e-08,2.08e-09,1.62e-09,0.0,5.96e-09,120
121,4.59e-07,1.43e-05,5e-07,1.86e-08,1.16e-09,8.25e-10,0.0,2.97e-09,121
122,3.2e-07,1.01e-05,3.05e-07,5.99e-09,3.08e-10,2.2e-10,0.0,7.51e-10,122
123,2.33e-07,7.4e-06,2.22e-07,5.2e-09,3.04e-10,2.14e-10,0.0,7.62e-10,123
124,6.02e-07,1.73e-05,7.89e-07,3.12e-08,1.95e-09,1.45e-09,0.0,4.58e-09,124
125,9.2e-07,2.01e-05,4.92e-07,5.75e-09,2.67e-10,2.03e-10,0.0,8.62e-10,125
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127
128,8.28e-07,1.94e-05,5.91e-07,9.93e-09,4.84e-10,3.65e-10,0.0,1.26e-09,128
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
